header_score,header_off,header_def,header_exp_pts,week_num,game_day_of_week,game_date,game_time,boxscore_word,game_outcome,overtime,team_record,game_location,opp,pts_off,pts_def,first_down_off,yards_off,pass_yds_off,rush_yds_off,to_off,first_down_def,yards_def,pass_yds_def,rush_yds_def
1,Sun,September 7,1:00PM ET,boxscore,L,,0-1,,Las Vegas Raiders,13,20,18,336,276,60,1,21,389,333,56,1,1.07,-7.21,-4.37
2,Sun,September 14,1:00PM ET,boxscore,W,,1-1,@,Miami Dolphins,33,27,18,333,211,122,,16,358,297,61,1,12.82,-5.66,-3.11
3,Sun,September 21,1:00PM ET,boxscore,L,,1-2,,Pittsburgh Steelers,14,21,26,369,250,119,5,17,203,139,64,1,-2.18,-2.22,-1.65
4,Sun,September 28,1:00PM ET,boxscore,W,,2-2,,Carolina Panthers,42,13,16,307,203,104,,21,326,197,129,,14.44,-0.46,12.06
5,Sun,October 5,8:20PM ET,boxscore,W,,3-2,@,Buffalo Bills,23,20,21,338,267,71,1,25,363,245,118,3,8.03,-6.83,0.80
6,Sun,October 12,1:00PM ET,boxscore,W,,4-2,@,New Orleans Saints,25,19,19,333,260,73,,17,296,223,73,1,9.44,-2.11,-1.65
7,Sun,October 19,1:00PM ET,boxscore,W,,5-2,@,Tennessee Titans,31,13,22,387,212,175,,16,255,216,39,2,15.83,10.08,-7.69
8,Sun,October 26,1:00PM ET,boxscore,W,,6-2,,Cleveland Browns,32,13,23,422,245,177,2,12,213,145,68,2,6.52,14.67,0.80
9,Sun,November 2,1:00PM ET,boxscore,W,,7-2,,Atlanta Falcons,24,23,23,331,221,110,2,17,288,217,71,,3.80,-3.23,1.12
10,Sun,November 9,1:00PM ET,boxscore,W,,8-2,@,Tampa Bay Buccaneers,28,23,16,435,269,166,1,24,371,258,113,,12.12,-6.61,2.07
11,Thu,November 13,8:15PM ET,boxscore,W,,9-2,,New York Jets,27,14,23,336,271,65,,15,245,105,140,1,14.63,3.43,-4.75
12,Sun,November 23,1:00PM ET,boxscore,W,,10-2,@,Cincinnati Bengals,26,20,21,392,285,107,1,20,307,187,120,1,2.82,4.54,-1.37
13,Mon,December 1,8:15PM ET,preview,,,,,New York Giants,,,,,,,,,,,,,,,
14,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
15,Sun,December 14,1:00PM ET,preview,,,,,Buffalo Bills,,,,,,,,,,,,,,,
16,Sun,December 21,1:00PM ET,preview,,,,@,Baltimore Ravens,,,,,,,,,,,,,,,
17,Sun,December 28,1:00PM ET,preview,,,,@,New York Jets,,,,,,,,,,,,,,,
18,Sun,January 4,1:00PM ET,preview,,,,,Miami Dolphins,,,,,,,,,,,,,,,
