header_empty_0,header_td,header_pat,header_fgtot,header_empty_7,ranker,name_display,age,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,def_two_pt,xpm,xpa,fgm
1,Andres Borregales,23,K,12,0,0,0,0,0,0,0,0,0,0,0,33,35,19,21,0,90,7.5,
2,TreVeyon Henderson,23,RB,12,4,5,1,0,0,0,0,0,6,0,0,0,0,0,0,0,36,3.0,
3,Kayshon Boutte,23,WR,10,7,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,30,3.0,
4,Hunter Henry,31,TE,12,12,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,30,2.5,
5,Rhamondre Stevenson,27,RB,9,8,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,20,2.2,
6,Stefon Diggs,32,WR,12,12,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,18,1.5,
7,Demario Douglas,25,WR,12,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,18,1.5,
8,Drake Maye,23,QB,12,12,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,14,1.2,
9,Antonio Gibson,27,RB,5,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,12,2.4,
10,Mack Hollins,32,WR,12,10,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.0,
11,Marcus Jones,27,CB,12,6,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,12,1.0,
12,K'Lavon Chaisson,26,LB,11,8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,0.5,
13,Austin Hooper,31,TE,11,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
14,Terrell Jennings,24,RB,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1.0,
15,Kyle Williams,23,WR,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
