header_empty_0,header_def_int,header_fumbles,header_other_defense,ranker,name_display,age,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists
1,Brian Burns,27,OLB,12,12,0,0,0,0,7,2,0,0,0,0,13.0,54,34,20,17,21,0,
2,Dexter Lawrence,28,DL,12,12,1,37,0,37,3,0,0,0,0,0,0.5,24,10,14,2,7,0,
3,Bobby Okereke,29,LB,12,12,0,0,0,0,3,0,0,0,0,0,1.0,103,56,47,1,1,0,
4,Roy Robertson-Harris,32,DT,12,12,0,0,0,0,1,0,0,0,0,0,0.0,19,9,10,2,4,0,
5,Cordale Flott,24,CB,11,11,1,68,0,68,8,1,0,0,0,0,0.0,32,24,8,2,0,0,
6,Wan'Dale Robinson,24,WR,12,11,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
7,Jevon Holland,25,S,10,10,1,3,0,3,5,0,0,0,0,0,0.0,43,26,17,0,0,0,
8,Tyler Nubin,24,S,10,10,0,0,0,0,1,0,0,0,0,0,0.0,58,35,23,4,0,0,
9,Kayvon Thibodeaux,25,OLB,10,10,0,0,0,0,2,0,0,0,0,0,2.5,25,13,12,5,9,0,
10,Andrew Thomas,26,T,10,10,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
11,Darius Slayton,28,WR,9,8,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
12,Paulson Adebo,26,CB,7,7,0,0,0,0,4,0,0,0,0,0,0.0,48,41,7,1,0,0,
13,Jaxson Dart,22,QB,9,7,0,0,0,0,0,0,3,0,-4,0,0.0,0,0,0,0,0,0,
14,Darius Muasau,24,LB,8,7,0,0,0,0,0,0,0,0,0,0,1.0,32,17,15,2,1,0,
15,Rakeem Nunez-Roches,32,DL,8,5,0,0,0,0,1,0,0,0,0,0,3.0,22,6,16,3,4,0,
16,Andru Phillips,24,CB,12,5,2,56,0,56,9,0,0,1,0,0,0.0,50,40,10,6,0,0,
17,Cam Skattebo,23,RB,8,5,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
18,Deonte Banks,24,CB,11,4,0,0,0,0,3,0,0,0,0,0,0.0,27,21,6,2,0,0,
19,Dane Belton,25,S,12,4,0,0,0,0,3,1,0,0,0,0,0.0,78,36,42,1,0,0,
20,Demetrius Flannigan-Fowles,29,LB,7,3,0,0,0,0,1,0,0,0,0,0,0.0,24,17,7,2,1,0,
21,Russell Wilson,37,QB,6,3,0,0,0,0,0,0,3,2,0,0,0.0,0,0,0,0,0,0,
22,Darius Alexander,25,DT,11,2,0,0,0,0,1,0,0,0,0,0,2.5,13,5,8,3,4,0,
23,Korie Black,23,CB,5,2,0,0,0,0,1,0,0,0,0,0,0.0,18,7,11,1,0,0,
24,Abdul Carter,22,OLB,12,2,0,0,0,0,0,0,0,1,-4,0,0.5,27,15,12,1,12,0,
25,Chris Manhertz,33,TE,12,2,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
26,Jameis Winston,31,QB,2,2,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
27,Tomon Fox,27,OLB,4,1,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
28,Micah McFadden,25,LB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,1,0,
29,Zaire Barnes,26,LB,6,0,0,0,0,0,0,0,0,0,0,0,0.0,15,9,6,1,0,0,
30,Jarrick Bernard-Converse,25,CB,4,0,0,0,0,0,0,0,0,0,0,0,0.0,4,0,4,0,0,0,
31,Chris Board,30,LB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,
32,Swayze Bozeman,27,LB,5,0,0,0,0,0,0,0,0,0,0,0,0.0,6,1,5,0,0,0,
33,Beau Brade,23,S,10,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
34,Dalen Cambre,24,WR,2,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
35,Elijah Chatman,25,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
36,Beaux Collins,23,WR,9,0,0,0,0,0,0,0,0,0,0,0,0.0,4,0,4,0,0,0,
37,D.J. Davidson,26,DL,12,0,0,0,0,0,1,0,0,0,0,0,0.0,8,6,2,1,0,0,
38,Victor Dimukeje,26,OLB,5,0,0,0,0,0,1,0,0,0,0,0,0.0,3,1,2,0,0,0,
39,Thomas Fidone,23,TE,7,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
40,Elijah Garcia,27,DL,4,0,0,0,0,0,0,0,0,0,0,0,1.0,4,2,2,1,1,0,
41,Jamie Gillan,28,P,12,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
42,Chauncey Golston,27,DL,5,0,0,0,0,0,0,0,0,0,0,0,0.0,7,5,2,0,0,0,
43,Art Green,25,CB,8,0,0,0,0,0,0,0,0,0,0,0,0.0,6,3,3,0,0,0,
44,Neville Hewitt,32,LB,10,0,0,0,0,0,0,0,0,0,0,0,0.0,9,4,5,0,0,0,
45,Nic Jones,24,CB,12,0,0,0,0,0,1,0,0,0,0,0,0.0,8,3,5,0,0,0,
46,Younghoe Koo,31,K,3,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
47,Raheem Layne,26,S,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
48,Rico Payton,26,CB,4,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,
