header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,Wan'Dale Robinson,24,WR,12,11,2,2,0,1,50.0,2,1.0,0.2,0.2,102,66,794,12.0,3,31,43.1,50,5.5,66.2,64.7,7.8,68,11.7,796,3,1,
2,Cam Skattebo,23,RB,8,5,101,410,5,27,50.5,24,4.1,51.3,12.6,32,24,207,8.6,2,11,56.3,21,3.0,25.9,75.0,6.5,125,4.9,617,7,1,
3,Tyrone Tracy Jr.,26,RB,10,6,103,398,1,21,43.7,31,3.9,39.8,10.3,30,21,206,9.8,0,9,50.0,42,2.1,20.6,70.0,6.9,124,4.9,604,1,0,
4,Theo Johnson,24,TE,12,12,0,0,0,0,,,,0.0,0.0,60,39,427,10.9,5,22,43.3,41,3.3,35.6,65.0,7.1,39,10.9,427,5,0,
5,Darius Slayton,28,WR,9,8,0,0,0,0,,,,0.0,0.0,36,24,366,15.3,0,12,58.3,52,2.7,40.7,66.7,10.2,24,15.3,366,0,1,
6,Devin Singletary,28,RB,12,1,74,238,2,15,44.6,14,3.2,19.8,6.2,10,9,92,10.2,0,2,40.0,41,0.8,7.7,90.0,9.2,83,4.0,330,2,0,
7,Jaxson Dart,22,QB,9,7,57,317,7,26,63.2,24,5.6,35.2,6.3,0,0,0,,0,0,,,0.0,0.0,,,57,5.6,317,7,3,
8,Malik Nabers,22,WR,4,4,0,0,0,0,,,,0.0,0.0,35,18,271,15.1,2,11,45.7,48,4.5,67.8,51.4,7.7,18,15.1,271,2,0,
9,Daniel Bellinger,25,TE,11,7,0,0,0,0,,,,0.0,0.0,17,12,202,16.8,1,9,70.6,44,1.1,18.4,70.6,11.9,12,16.8,202,1,0,
10,Russell Wilson,37,QB,6,3,18,106,0,6,50.0,15,5.9,17.7,3.0,0,0,0,,0,0,,,0.0,0.0,,,18,5.9,106,0,3,
11,Isaiah Hodgins,27,WR,2,1,0,0,0,0,,,,0.0,0.0,12,7,99,14.1,1,6,58.3,30,3.5,49.5,58.3,8.3,7,14.1,99,1,0,
12,Jameis Winston,31,QB,2,2,7,23,1,3,42.9,11,3.3,11.5,3.5,1,1,33,33.0,1,1,100.0,33,0.5,16.5,100.0,33.0,8,7.0,56,2,1,
13,Lil'Jordan Humphrey,27,WR,3,2,0,0,0,0,,,,0.0,0.0,10,4,55,13.8,0,2,30.0,34,1.3,18.3,40.0,5.5,4,13.8,55,0,0,
14,Jalin Hyatt,24,WR,7,0,0,0,0,0,,,,0.0,0.0,13,5,35,7.0,0,2,30.8,14,0.7,5.0,38.5,2.7,5,7.0,35,0,0,
15,Beaux Collins,23,WR,9,0,0,0,0,0,,,,0.0,0.0,6,2,25,12.5,0,1,33.3,18,0.2,2.8,33.3,4.2,2,12.5,25,0,0,
16,Gunner Olszewski,29,WR,12,0,0,0,0,0,,,,0.0,0.0,3,1,24,24.0,1,1,33.3,24,0.1,2.0,33.3,8.0,1,24.0,24,1,0,
17,Chris Manhertz,33,TE,12,2,0,0,0,0,,,,0.0,0.0,1,1,7,7.0,0,0,100.0,7,0.1,0.6,100.0,7.0,1,7.0,7,0,0,
18,Ray-Ray McCloud,29,WR,2,1,0,0,0,0,,,,0.0,0.0,1,1,5,5.0,0,0,100.0,5,0.5,2.5,100.0,5.0,1,5.0,5,0,0,
