header_score,header_off,header_def,header_exp_pts,week_num,game_day_of_week,game_date,game_time,boxscore_word,game_outcome,overtime,team_record,game_location,opp,pts_off,pts_def,first_down_off,yards_off,pass_yds_off,rush_yds_off,to_off,first_down_def,yards_def,pass_yds_def,rush_yds_def
1,Sun,September 7,1:00PM ET,boxscore,L,,0-1,@,Washington Commanders,6,21,17,231,157,74,,25,432,212,220,,-6.91,-15.03,2.75
2,Sun,September 14,1:00PM ET,boxscore,L,OT,0-2,@,Dallas Cowboys,37,40,22,506,422,84,1,32,478,343,135,1,17.12,-23.76,1.51
3,Sun,September 21,8:20PM ET,boxscore,L,,0-3,,Kansas City Chiefs,9,22,19,281,151,130,2,22,306,201,105,,-6.65,-9.67,3.25
4,Sun,September 28,1:00PM ET,boxscore,W,,1-3,,Los Angeles Chargers,21,18,20,250,89,161,,17,338,186,152,2,-1.89,7.74,-2.05
5,Sun,October 5,1:00PM ET,boxscore,L,,1-4,@,New Orleans Saints,14,26,23,335,199,136,5,18,332,244,88,,-13.83,-8.52,11.08
6,Thu,October 9,8:15PM ET,boxscore,W,,2-4,,Philadelphia Eagles,34,17,25,366,194,172,,20,339,266,73,2,20.62,0.26,-2.45
7,Sun,October 19,4:05PM ET,boxscore,L,,2-5,@,Denver Broncos,32,33,26,387,268,119,1,25,407,265,142,,16.29,-10.83,-3.01
8,Sun,October 26,1:00PM ET,boxscore,L,,2-6,@,Philadelphia Eagles,20,38,13,246,178,68,,23,427,151,276,,3.03,-26.50,4.65
9,Sun,November 2,1:00PM ET,boxscore,L,,2-7,,San Francisco 49ers,24,34,19,296,179,117,,25,380,221,159,1,8.85,-16.67,-5.34
10,Sun,November 9,1:00PM ET,boxscore,L,,2-8,@,Chicago Bears,20,24,21,431,262,169,1,23,391,220,171,,1.85,-8.14,-0.47
11,Sun,November 16,1:00PM ET,boxscore,L,,2-9,,Green Bay Packers,20,27,22,336,194,142,2,19,296,168,128,,10.68,-17.66,1.11
12,Sun,November 23,1:00PM ET,boxscore,L,OT,2-10,@,Detroit Lions,27,34,25,517,395,122,1,23,494,257,237,1,16.15,-18.27,-3.88
13,Mon,December 1,8:15PM ET,preview,,,,@,New England Patriots,,,,,,,,,,,,,,,
14,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
15,Sun,December 14,1:00PM ET,preview,,,,,Washington Commanders,,,,,,,,,,,,,,,
16,Sun,December 21,1:00PM ET,preview,,,,,Minnesota Vikings,,,,,,,,,,,,,,,
17,Sun,December 28,1:00PM ET,preview,,,,@,Las Vegas Raiders,,,,,,,,,,,,,,,
18,Sun,January 4,1:00PM ET,preview,,,,,Dallas Cowboys,,,,,,,,,,,,,,,
