header_empty_0,header_td,header_pat,header_fgtot,header_empty_7,ranker,name_display,age,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,def_two_pt,xpm,xpa,fgm
1,Cam Skattebo,23,RB,8,5,5,2,0,0,0,0,0,7,1,0,0,0,0,0,0,44,5.5,
2,Jaxson Dart,22,QB,9,7,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,42,4.7,
3,Graham Gano,38,K,5,0,0,0,0,0,0,0,0,0,0,0,9,9,9,10,0,36,7.2,
4,Theo Johnson,24,TE,12,12,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,30,2.5,
5,Younghoe Koo,31,K,3,0,0,0,0,0,0,0,0,0,0,0,7,8,4,4,0,19,6.3,
6,Wan'Dale Robinson,24,WR,12,11,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,18,1.5,
7,Jude McAtamney,25,K,4,0,0,0,0,0,0,0,0,0,0,0,9,12,2,2,0,15,3.8,
8,Malik Nabers,22,WR,4,4,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,3.0,
9,Devin Singletary,28,RB,12,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.0,
10,Jameis Winston,31,QB,2,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,12,6.0,
11,Daniel Bellinger,25,TE,11,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
12,Isaiah Hodgins,27,WR,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,3.0,
13,Gunner Olszewski,29,WR,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
14,Tyrone Tracy Jr.,26,RB,10,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.6,
