header_empty_0,header_def_int,header_fumbles,header_other_defense,ranker,name_display,age,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists
1,Breece Hall,24,RB,11,11,0,0,0,0,0,0,2,1,7,0,0.0,0,0,0,0,0,0,
2,Josh Myers,27,C,11,11,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
3,Harrison Phillips,29,DL,11,11,0,0,0,0,2,1,0,0,0,0,0.5,36,13,23,3,0,0,
4,Brandon Stephens,28,CB,11,11,0,0,0,0,7,0,0,0,0,0,0.0,56,38,18,4,0,0,
5,Will McDonald,26,DE,11,10,0,0,0,0,0,0,0,0,0,0,7.0,21,12,9,8,12,0,
6,Jamien Sherwood,25,LB,11,10,0,0,0,0,5,0,0,0,0,0,1.0,102,46,56,5,4,0,
7,Mason Taylor,21,TE,11,10,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
8,Justin Fields,26,QB,9,9,0,0,0,0,0,0,4,0,-4,0,0.0,0,0,0,0,0,0,
9,Jeremy Ruckert,25,TE,11,9,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0,0,0,
10,Andre Cisco,25,S,8,8,0,0,0,0,1,0,0,1,0,0,0.0,41,26,15,1,0,0,
11,Jermaine Johnson II,26,LB,8,8,0,0,0,0,1,0,0,0,0,0,3.0,29,14,15,4,5,0,
12,Malachi Moore,24,DB,11,8,0,0,0,0,2,0,0,0,0,0,0.0,51,28,23,1,0,0,
13,Quinnen Williams,28,DL,8,8,0,0,0,0,0,3,0,0,0,0,1.0,32,17,15,7,3,0,
14,Tony Adams,26,S,10,7,0,0,0,0,5,0,0,0,0,0,0.0,41,25,16,2,0,0,
15,Sauce Gardner,25,CB,7,7,0,0,0,0,6,0,0,0,0,0,0.0,20,15,5,0,0,0,
