header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,Breece Hall,24,RB,11,11,168,766,2,43,48.8,35,4.6,69.6,15.3,37,28,301,10.8,1,10,59.5,42,2.5,27.4,75.7,8.1,196,5.4,1067,3,2,
2,Garrett Wilson,25,WR,7,7,0,0,0,0,,,,0.0,0.0,59,36,395,11.0,4,18,45.8,33,5.1,56.4,61.0,6.7,36,11.0,395,4,1,
3,Justin Fields,26,QB,9,9,71,383,4,26,57.7,43,5.4,42.6,7.9,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,71,5.4,383,4,4,
4,Mason Taylor,21,TE,11,10,0,0,0,0,,,,0.0,0.0,53,37,297,8.0,1,18,52.8,27,3.4,27.0,69.8,5.6,37,8.0,297,1,0,
5,Isaiah Davis,23,RB,11,0,26,137,0,3,23.1,50,5.3,12.5,2.4,21,15,118,7.9,0,6,47.6,26,1.4,10.7,71.4,5.6,41,6.2,255,0,0,
6,Tyler Johnson,27,WR,9,5,0,0,0,0,,,,0.0,0.0,16,10,187,18.7,1,8,56.3,35,1.1,20.8,62.5,11.7,10,18.7,187,1,0,
7,Jeremy Ruckert,25,TE,11,9,0,0,0,0,,,,0.0,0.0,16,14,119,8.5,1,6,62.5,24,1.3,10.8,87.5,7.4,14,8.5,119,1,0,
8,John Metchie,25,WR,3,1,1,-7,0,0,0.0,-7,-7.0,-2.3,0.3,11,10,113,11.3,2,7,63.6,22,3.3,37.7,90.9,10.3,11,9.6,106,2,0,
9,Josh Reynolds,30,WR,5,3,0,0,0,0,,,,0.0,0.0,21,11,101,9.2,0,4,47.6,13,2.2,20.2,52.4,4.8,11,9.2,101,0,0,
10,Tyrod Taylor,36,QB,4,2,19,99,0,6,47.4,15,5.2,24.8,4.8,0,0,0,,0,0,,,0.0,0.0,,,19,5.2,99,0,1,
11,Braelon Allen,21,RB,4,0,18,76,1,4,50.0,15,4.2,19.0,4.5,3,2,17,8.5,0,1,66.7,12,0.5,4.3,66.7,5.7,20,4.7,93,1,1,
12,Isaiah Williams,24,WR,9,0,2,29,0,1,100.0,25,14.5,3.2,0.2,9,5,37,7.4,0,2,44.4,15,0.6,4.1,55.6,4.1,7,9.4,66,0,1,
13,Arian Smith,24,WR,11,5,3,11,0,1,66.7,13,3.7,1.0,0.3,10,6,47,7.8,0,4,40.0,23,0.5,4.3,60.0,4.7,9,6.4,58,0,0,
14,Allen Lazard,30,WR,7,2,0,0,0,0,,,,0.0,0.0,14,8,54,6.8,1,3,35.7,9,1.1,7.7,57.1,3.9,8,6.8,54,1,0,
15,Adonai Mitchell,23,WR,2,0,0,0,0,0,,,,0.0,0.0,13,3,52,17.3,0,3,23.1,26,1.5,26.0,23.1,4.0,3,17.3,52,0,0,
16,Andrew Beck,29,FB,11,0,0,0,0,0,,,,0.0,0.0,5,4,26,6.5,1,2,80.0,10,0.4,2.4,80.0,5.2,4,6.5,26,1,0,
