header_empty_0,header_td,header_pat,header_fgtot,header_empty_7,ranker,name_display,age,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,def_two_pt,xpm,xpa,fgm
1,Nick Folk,41,K,11,0,0,0,0,0,0,0,0,0,0,0,15,15,20,20,0,75,6.8,
2,Justin Fields,26,QB,9,9,4,0,0,0,0,0,0,4,2,0,0,0,0,0,0,28,3.1,
3,Garrett Wilson,25,WR,7,7,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,24,3.4,
4,Breece Hall,24,RB,11,11,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,18,1.6,
5,John Metchie,25,WR,3,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,4.0,
6,Mason Taylor,21,TE,11,10,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,8,0.7,
7,Braelon Allen,21,RB,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1.5,
8,Andrew Beck,29,FB,11,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
9,Tyler Johnson,27,WR,9,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.7,
10,Allen Lazard,30,WR,7,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.9,
11,Will McDonald,26,DE,11,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,0.5,
12,Kene Nwangwu,27,RB,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,1.0,
13,Jeremy Ruckert,25,TE,11,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
14,Isaiah Williams,24,WR,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0.7,
15,Isaiah Davis,23,RB,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0.2,
16,Josh Reynolds,30,WR,5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0.4,
