header_empty_0,header_def_int,header_fumbles,header_other_defense,ranker,name_display,age,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists
1,Cody Barton,29,LB,11,11,3,25,1,24,7,0,0,0,0,0,1.0,60,30,30,3,1,0,
2,Cedric Gray,23,LB,11,11,0,0,0,0,4,0,0,1,0,0,1.0,109,64,45,6,2,0,
3,Amani Hooker,27,S,11,11,0,0,0,0,7,0,0,0,0,0,1.0,59,45,14,2,1,0,
4,Tony Pollard,28,RB,11,11,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,
5,Cam Ward,23,QB,11,11,0,0,0,0,0,0,8,0,-2,0,0.0,0,0,0,0,0,0,
6,Dre'Mont Jones,28,OLB,9,9,0,0,0,0,0,0,0,1,2,0,4.5,26,13,13,5,9,0,
7,Jeffery Simmons,28,DT,9,9,0,0,0,0,0,1,0,0,0,0,5.5,35,24,11,9,13,0,
8,Jalyn Armour-Davis,26,CB,9,8,0,0,0,0,2,0,0,0,0,0,0.0,32,17,15,1,0,0,
9,Xavier Woods,30,S,8,8,1,16,0,16,2,0,0,0,0,0,1.0,34,19,15,0,0,0,
10,Chimere Dike,24,WR,11,7,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
11,Sebastian Joseph-Day,30,DE,11,7,0,0,0,0,0,0,0,1,0,0,2.0,33,19,14,6,4,0,
12,JC Latham,22,OT,7,7,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
13,L'Jarius Sneed,28,CB,7,7,0,0,0,0,3,0,0,0,0,0,0.0,26,18,8,0,0,0,
14,Gunnar Helm,23,TE,11,6,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
15,T'Vondre Sweat,24,NT,6,6,0,0,0,0,1,0,0,0,0,0,2.0,16,9,7,4,1,0,
16,Jihad Ward,31,OLB,11,6,0,0,0,0,3,0,0,0,0,0,3.5,17,10,7,3,13,0,
17,Arden Key,29,OLB,7,5,0,0,0,0,0,0,0,0,0,0,4.0,11,6,5,5,9,0,
18,Darrell Baker,27,CB,11,4,0,0,0,0,3,0,0,0,0,0,0.0,36,23,13,0,0,0,
19,Quandre Diggs,32,FS,9,4,0,0,0,0,1,0,0,0,0,0,0.0,30,17,13,0,0,0,
20,David Martin-Robinson,26,TE,11,3,0,0,0,0,0,0,0,0,0,0,0.0,6,3,3,0,0,0,
21,Roger McCreary,25,CB,8,3,1,0,0,0,2,0,0,0,0,0,1.0,33,21,12,1,1,0,
22,Kevin Winston,22,S,7,3,0,0,0,0,0,0,0,0,0,0,0.0,20,11,9,1,2,0,
23,Jarvis Brownlee,24,CB,2,2,0,0,0,0,1,0,0,0,0,0,0.0,17,11,6,2,0,0,
24,Oluwafemi Oladejo,22,OLB,6,2,0,0,0,0,0,0,0,0,0,0,0.0,13,5,8,2,2,0,
25,Marcus Harris,24,CB,10,1,0,0,0,0,4,0,0,0,0,0,0.0,12,7,5,0,0,0,
26,Tyler Lockett,33,WR,7,1,0,0,0,0,0,0,0,1,0,1,0.0,0,0,0,0,0,0,
27,James Lynch,26,DL,11,1,0,0,0,0,0,0,0,0,0,0,0.0,17,10,7,1,2,0,
28,C.J. Ravenell,25,DL,8,1,0,0,0,0,0,1,0,0,0,0,0.0,5,1,4,0,0,0,
29,Shy Tuttle,30,DT,10,1,0,0,0,0,0,0,0,0,0,0,0.0,11,6,5,1,0,0,
30,Samuel Womack,26,CB,5,1,0,0,0,0,1,0,0,0,0,0,0.0,4,2,2,0,0,0,
31,Joe Bachie,27,LB,4,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
32,Kendell Brooks,25,DB,6,0,0,0,0,0,0,0,0,0,0,0,0.0,6,4,2,0,0,0,
33,Mike Brown,26,S,6,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,0,
34,Julius Chestnut,25,RB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,8,4,4,0,0,0,
35,Ali Gaye,27,OLB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
36,Jaylen Harrell,23,OLB,11,0,0,0,0,0,0,0,0,0,0,0,0.5,13,7,6,0,2,0,
37,Johnny Hekker,35,P,11,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
38,Truman Jones,25,OLB,3,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
39,Mason Kinsey,27,WR,5,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,
40,Dorian Mausi,23,LB,11,0,0,0,0,0,0,0,0,1,0,0,0.0,7,4,3,0,0,0,
41,Jordan Mims,26,RB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
42,Bryce Oliver,25,WR,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
43,Micah Robinson,23,CB,3,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
44,Joey Slye,29,K,10,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,
45,Kyzir White,29,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,
46,James Williams,22,LB,10,0,0,0,0,0,0,0,0,0,0,0,0.0,4,4,0,0,0,0,
