header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,Tony Pollard,28,RB,11,11,140,522,2,26,42.1,21,3.7,47.5,12.7,32,26,168,6.5,0,8,43.8,29,2.4,15.3,81.3,5.3,166,4.2,690,2,2,
2,Chigoziem Okonkwo,26,TE,11,8,0,0,0,0,,,,0.0,0.0,46,35,377,10.8,0,16,52.2,39,3.2,34.3,76.1,8.2,35,10.8,377,0,0,
3,Elic Ayomanor,22,WR,10,9,0,0,0,0,,,,0.0,0.0,59,28,334,11.9,2,20,40.7,33,2.8,33.4,47.5,5.7,28,11.9,334,2,0,
4,Tyjae Spears,24,RB,7,0,37,159,1,6,35.1,41,4.3,22.7,5.3,24,22,148,6.7,0,4,45.8,26,3.1,21.1,91.7,6.2,59,5.2,307,1,0,
5,Calvin Ridley,31,WR,7,6,0,0,0,0,,,,0.0,0.0,36,17,303,17.8,0,13,38.9,47,2.4,43.3,47.2,8.4,17,17.8,303,0,0,
6,Chimere Dike,24,WR,11,7,8,17,0,0,50.0,9,2.1,1.5,0.7,43,28,252,9.0,2,12,44.2,38,2.5,22.9,65.1,5.9,36,7.5,269,2,1,
7,Gunnar Helm,23,TE,11,6,0,0,0,0,,,,0.0,0.0,37,30,267,8.9,1,15,67.6,22,2.7,24.3,81.1,7.2,30,8.9,267,1,0,
8,Van Jefferson,29,WR,11,3,0,0,0,0,,,,0.0,0.0,34,18,200,11.1,1,13,50.0,23,1.6,18.2,52.9,5.9,18,11.1,200,1,0,
9,Cam Ward,23,QB,11,11,27,116,1,10,51.9,20,4.3,10.5,2.5,0,0,0,,0,0,,,0.0,0.0,,,27,4.3,116,1,8,
10,Tyler Lockett,33,WR,7,1,0,0,0,0,,,,0.0,0.0,21,10,70,7.0,0,3,33.3,16,1.4,10.0,47.6,3.3,10,7.0,70,0,0,
11,James Proche,29,WR,3,0,0,0,0,0,,,,0.0,0.0,3,3,42,14.0,0,2,100.0,23,1.0,14.0,100.0,14.0,3,14.0,42,0,0,
12,Julius Chestnut,25,RB,11,0,10,39,0,3,40.0,27,3.9,3.5,0.9,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,10,3.9,39,0,0,
13,Xavier Restrepo,23,WR,1,0,0,0,0,0,,,,0.0,0.0,6,2,26,13.0,0,2,33.3,14,2.0,26.0,33.3,4.3,2,13.0,26,0,0,
14,Mason Kinsey,27,WR,5,0,0,0,0,0,,,,0.0,0.0,3,1,14,14.0,0,1,33.3,14,0.2,2.8,33.3,4.7,1,14.0,14,0,0,
15,Bryce Oliver,25,WR,2,0,0,0,0,0,,,,0.0,0.0,1,1,8,8.0,0,0,100.0,8,0.5,4.0,100.0,8.0,1,8.0,8,0,0,
16,David Martin-Robinson,26,TE,11,3,0,0,0,0,,,,0.0,0.0,1,1,1,1.0,1,1,100.0,1,0.1,0.1,100.0,1.0,1,1.0,1,1,0,
