header_score,header_off,header_def,header_exp_pts,week_num,game_day_of_week,game_date,game_time,boxscore_word,game_outcome,overtime,team_record,game_location,opp,pts_off,pts_def,first_down_off,yards_off,pass_yds_off,rush_yds_off,to_off,first_down_def,yards_def,pass_yds_def,rush_yds_def
1,Sun,September 7,4:05PM ET,boxscore,L,,0-1,@,Denver Broncos,12,20,7,133,62,71,2,20,317,166,151,4,-27.39,8.07,8.09
2,Sun,September 14,1:00PM ET,boxscore,L,,0-2,,Los Angeles Rams,19,33,18,252,143,109,1,22,439,290,149,1,-4.30,-14.23,4.91
3,Sun,September 21,1:00PM ET,boxscore,L,,0-3,,Indianapolis Colts,20,41,21,282,196,86,1,22,365,228,137,,-3.34,-22.44,2.91
4,Sun,September 28,1:00PM ET,boxscore,L,,0-4,@,Houston Texans,0,26,10,175,93,82,1,20,353,224,129,,-16.07,-10.19,-0.23
5,Sun,October 5,4:05PM ET,boxscore,W,,1-4,@,Arizona Cardinals,22,21,20,327,249,78,2,16,360,192,168,3,-1.31,0.32,1.53
6,Sun,October 12,4:05PM ET,boxscore,L,,1-5,@,Las Vegas Raiders,10,20,15,225,160,65,3,16,226,158,68,1,-11.81,3.00,-2.48
7,Sun,October 19,1:00PM ET,boxscore,L,,1-6,,New England Patriots,13,31,16,255,216,39,2,22,387,212,175,,-10.08,-15.83,7.69
8,Sun,October 26,4:25PM ET,boxscore,L,,1-7,@,Indianapolis Colts,14,38,20,341,228,113,1,21,420,256,164,,4.18,-22.55,-7.97
9,Sun,November 2,1:00PM ET,boxscore,L,,1-8,,Los Angeles Chargers,20,27,10,206,118,88,,21,343,212,131,1,-11.50,-6.32,6.89
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Sun,November 16,1:00PM ET,boxscore,L,,1-9,,Houston Texans,13,16,14,229,171,58,1,20,315,240,75,,-7.43,2.26,1.87
12,Sun,November 23,1:00PM ET,boxscore,L,,1-10,,Seattle Seahawks,24,30,18,296,232,64,,19,353,239,114,,3.69,-11.97,0.24
13,Sun,November 30,1:00PM ET,preview,,,,,Jacksonville Jaguars,,,,,,,,,,,,,,,
14,Sun,December 7,1:00PM ET,preview,,,,@,Cleveland Browns,,,,,,,,,,,,,,,
15,Sun,December 14,4:25PM ET,preview,,,,@,San Francisco 49ers,,,,,,,,,,,,,,,
16,Sun,December 21,1:00PM ET,preview,,,,,Kansas City Chiefs,,,,,,,,,,,,,,,
17,Sun,December 28,1:00PM ET,preview,,,,,New Orleans Saints,,,,,,,,,,,,,,,
18,Sun,January 4,1:00PM ET,preview,,,,@,Jacksonville Jaguars,,,,,,,,,,,,,,,
