header_empty_0,header_td,header_pat,header_fgtot,header_empty_7,ranker,name_display,age,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,def_two_pt,xpm,xpa,fgm
1,Joey Slye,29,K,10,0,0,0,0,0,0,0,0,0,0,0,13,14,20,25,0,73,7.3,
2,Chimere Dike,24,WR,11,7,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0,24,2.2,
3,Elic Ayomanor,22,WR,10,9,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.2,
4,Tony Pollard,28,RB,11,11,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.1,
5,Cody Barton,29,LB,11,11,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0.5,
6,Gunnar Helm,23,TE,11,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
7,Van Jefferson,29,WR,11,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
8,Tyler Lockett,33,WR,7,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,0.9,
9,David Martin-Robinson,26,TE,11,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
10,Tyjae Spears,24,RB,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.9,
11,Cam Ward,23,QB,11,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
12,Matthew Wright,29,K,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,4,4.0,
