header_empty_0,header_def_int,header_fumbles,header_other_defense,ranker,name_display,age,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists
1,Saquon Barkley,28,RB,11,11,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
2,Zack Baun,29,LB,11,11,1,0,0,0,6,1,0,1,0,0,3.0,88,48,40,6,4,0,
3,Reed Blankenship,26,S,11,11,1,0,0,0,4,1,0,1,0,0,0.0,50,32,18,0,0,0,
4,Jordan Davis,25,DT,11,11,0,0,0,0,6,0,0,0,0,0,3.0,40,19,21,5,4,0,
5,Cooper DeJean,22,DB,11,11,1,21,0,21,9,1,0,0,0,0,0.0,67,46,21,4,0,0,
6,Jalen Hurts,27,QB,11,11,0,0,0,0,0,0,5,1,-6,0,0.0,0,0,0,0,0,0,
7,Quinyon Mitchell,24,CB,11,11,0,0,0,0,13,0,0,1,6,0,0.0,35,27,8,0,0,0,
8,Andrew Mukuba,23,S,11,10,2,41,0,41,3,0,0,0,0,0,0.5,46,27,19,2,1,0,
9,Jalen Carter,24,DT,9,9,0,0,0,0,4,0,0,0,0,0,1.0,28,17,11,2,10,0,
10,Cam Jurgens,26,OL,9,9,0,0,0,0,0,0,1,0,-12,0,0.0,0,0,0,0,0,0,
11,Jihaad Campbell,21,LB,11,8,1,0,0,0,2,1,0,0,0,0,0.0,53,30,23,1,1,0,
12,Jalyx Hunt,24,OLB,11,8,1,42,1,42,1,1,0,0,0,0,2.0,29,15,14,5,13,0,
13,Nolan Smith,24,OLB,6,6,0,0,0,0,0,1,0,0,0,0,1.0,16,8,8,0,5,0,
14,Adoree' Jackson,30,CB,9,5,0,0,0,0,6,0,0,0,0,0,0.0,33,24,9,0,0,0,
15,Moro Ojomo,24,DT,11,5,0,0,0,0,1,0,0,0,0,0,4.0,24,11,13,4,8,0,
16,Grant Calcaterra,27,TE,9,4,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,
17,Nakobe Dean,25,LB,6,4,0,0,0,0,0,1,0,0,0,0,3.0,26,16,10,4,4,0,
18,Jaelan Phillips,26,OLB,3,3,0,0,0,0,0,0,0,1,0,0,1.0,11,6,5,2,5,0,
19,Kylen Granson,27,TE,11,2,0,0,0,0,0,0,0,0,0,0,0.0,12,7,5,0,0,0,
20,Azeez Ojulari,25,OLB,3,2,0,0,0,0,0,0,0,0,0,0,0.0,6,2,4,1,1,0,
21,Kelee Ringo,23,CB,11,2,0,0,0,0,1,0,0,1,0,0,0.0,27,20,7,0,0,0,
22,Za'Darius Smith,33,OLB,5,2,0,0,0,0,0,0,0,0,0,0,1.5,10,3,7,2,3,0,
23,Sydney Brown,25,S,11,1,0,0,0,0,0,0,0,0,0,0,0.0,17,9,8,0,0,0,
24,Cameron Latu,25,TE,10,1,0,0,0,0,0,0,0,0,0,0,0.0,9,6,3,0,0,0,
25,Byron Young,25,DT,11,1,0,0,0,0,0,0,0,0,0,0,0.0,14,6,8,1,1,0,
26,Cal Adomitis,27,LS,7,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
27,Jakorian Bennett,25,CB,5,0,0,0,0,0,1,0,0,0,0,0,0.0,6,6,0,0,0,0,
28,Tank Bigsby,24,RB,10,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
29,Michael Carter II,26,CB,3,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
30,AJ Dillon,27,RB,6,0,0,0,0,0,0,0,1,0,0,0,0.0,1,1,0,0,0,0,
31,Jake Elliott,30,K,11,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
32,Marcus Epps,29,S,8,0,0,0,0,0,0,0,0,0,0,0,0.0,6,5,1,0,0,0,
33,Xavier Gipson,24,WR,5,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
34,Patrick Johnson,27,OLB,8,0,0,0,0,0,0,0,0,0,0,0,1.0,7,4,3,1,2,0,
35,Mac McWilliams,24,CB,4,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
36,John Metchie,25,WR,7,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
37,Smael Mondon,22,LB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,5,2,3,0,0,0,
38,Parry Nickerson,31,CB,5,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
39,Ty Robinson,24,DT,6,0,0,0,0,0,1,0,0,0,0,0,0.0,1,0,1,0,0,0,
40,Will Shipley,23,RB,9,0,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0,0,0,
41,Jeremiah Trotter Jr.,23,LB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,15,9,6,0,0,0,
42,Joshua Uche,27,OLB,11,0,0,0,0,0,1,0,0,0,0,0,1.0,18,11,7,2,3,0,
