header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,Saquon Barkley,28,RB,11,11,185,684,4,27,42.7,65,3.7,62.2,16.8,41,35,259,7.4,2,11,39.0,47,3.2,23.5,85.4,6.3,220,4.3,943,6,1,
2,DeVonta Smith,27,WR,11,11,0,0,0,0,,,,0.0,0.0,78,55,754,13.7,3,32,55.1,79,5.0,68.5,70.5,9.7,55,13.7,754,3,0,
3,A.J. Brown,28,WR,10,10,0,0,0,0,,,,0.0,0.0,75,46,567,12.3,4,24,48.0,45,4.6,56.7,61.3,7.6,46,12.3,567,4,0,
4,Dallas Goedert,30,TE,10,10,0,0,0,0,,,,0.0,0.0,52,38,376,9.9,7,21,59.6,36,3.8,37.6,73.1,7.2,38,9.9,376,7,0,
5,Jalen Hurts,27,QB,11,11,80,298,8,32,55.0,29,3.7,27.1,7.3,0,0,0,,0,0,,,0.0,0.0,,,80,3.7,298,8,5,
6,Jahan Dotson,25,WR,11,5,0,0,0,0,,,,0.0,0.0,18,10,194,19.4,1,6,44.4,51,0.9,17.6,55.6,10.8,10,19.4,194,1,0,
7,Tank Bigsby,24,RB,10,0,18,164,0,7,61.1,29,9.1,16.4,1.8,1,1,-1,-1.0,0,0,0.0,-1,0.1,-0.1,100.0,-1.0,19,8.6,163,0,0,
8,AJ Dillon,27,RB,6,0,12,60,0,4,50.0,11,5.0,10.0,2.0,2,2,18,9.0,0,0,100.0,11,0.3,3.0,100.0,9.0,14,5.6,78,0,1,
9,Will Shipley,23,RB,9,0,11,45,0,4,36.4,20,4.1,5.0,1.2,6,4,28,7.0,0,1,16.7,11,0.4,3.1,66.7,4.7,15,4.9,73,0,0,
10,Grant Calcaterra,27,TE,9,4,0,0,0,0,,,,0.0,0.0,8,5,48,9.6,0,2,50.0,16,0.6,5.3,62.5,6.0,5,9.6,48,0,0,
11,John Metchie,25,WR,7,0,0,0,0,0,,,,0.0,0.0,4,4,18,4.5,0,2,75.0,8,0.6,2.6,100.0,4.5,4,4.5,18,0,0,
12,Kylen Granson,27,TE,11,2,0,0,0,0,,,,0.0,0.0,4,3,10,3.3,0,2,50.0,5,0.3,0.9,75.0,2.5,3,3.3,10,0,0,
13,Darius Cooper,24,WR,7,0,0,0,0,0,,,,0.0,0.0,2,2,7,3.5,0,0,0.0,4,0.3,1.0,100.0,3.5,2,3.5,7,0,0,
14,Xavier Gipson,24,WR,5,0,0,0,0,0,,,,0.0,0.0,2,2,6,3.0,0,0,0.0,3,0.4,1.2,100.0,3.0,2,3.0,6,0,2,
15,Tanner McKee,25,QB,1,0,3,-2,0,0,0.0,,-0.7,-2.0,3.0,0,0,0,,0,0,,,0.0,0.0,,,3,-0.7,-2,0,0,
16,Braden Mann,28,P,11,0,1,-34,0,0,0.0,-34,-34.0,-3.1,0.1,0,0,0,,0,0,,,0.0,0.0,,,1,-34.0,-34,0,0,
