header_score,header_off,header_def,header_exp_pts,week_num,game_day_of_week,game_date,game_time,boxscore_word,game_outcome,overtime,team_record,game_location,opp,pts_off,pts_def,first_down_off,yards_off,pass_yds_off,rush_yds_off,to_off,first_down_def,yards_def,pass_yds_def,rush_yds_def
1,Thu,September 4,8:20PM ET,boxscore,W,,1-0,,Dallas Cowboys,24,20,20,302,144,158,,22,307,188,119,1,13.04,-10.85,2.69
2,Sun,September 14,4:25PM ET,boxscore,W,,2-0,@,Kansas City Chiefs,20,17,16,216,94,122,,17,294,173,121,1,0.21,0.80,4.07
3,Sun,September 21,1:00PM ET,boxscore,W,,3-0,,Los Angeles Rams,33,26,19,288,202,86,1,22,356,196,160,1,4.15,-3.39,6.83
4,Sun,September 28,1:00PM ET,boxscore,W,,4-0,@,Tampa Bay Buccaneers,31,25,16,200,112,88,,18,376,272,104,2,-2.72,3.04,5.68
5,Sun,October 5,1:00PM ET,boxscore,L,,4-1,,Denver Broncos,17,21,16,302,257,45,,23,358,228,130,,4.33,-4.25,-1.52
6,Thu,October 9,8:15PM ET,boxscore,L,,4-2,@,New York Giants,17,34,20,339,266,73,2,25,366,194,172,,-0.26,-20.62,2.45
7,Sun,October 19,1:00PM ET,boxscore,W,,5-2,@,Minnesota Vikings,28,22,13,361,316,45,,21,387,298,89,2,12.55,-0.99,-5.57
8,Sun,October 26,1:00PM ET,boxscore,W,,6-2,,New York Giants,38,20,23,427,151,276,,13,246,178,68,,26.50,-3.03,-4.65
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Mon,November 10,8:15PM ET,boxscore,W,,7-2,@,Green Bay Packers,10,7,13,294,183,111,1,18,261,157,104,2,-5.03,7.43,-0.20
11,Sun,November 16,8:20PM ET,boxscore,W,,8-2,,Detroit Lions,16,9,16,272,124,148,,13,317,243,74,1,-10.27,18.18,0.41
12,Sun,November 23,4:25PM ET,boxscore,L,,8-3,@,Dallas Cowboys,21,24,19,339,276,63,2,25,473,348,125,2,2.21,-3.20,-1.61
13,Fri,November 28,3:00PM ET,preview,,,,,Chicago Bears,,,,,,,,,,,,,,,
14,Mon,December 8,8:15PM ET,preview,,,,@,Los Angeles Chargers,,,,,,,,,,,,,,,
15,Sun,December 14,1:00PM ET,preview,,,,,Las Vegas Raiders,,,,,,,,,,,,,,,
16,Sat,December 20,1:00PM ET,preview,,,,@,Washington Commanders,,,,,,,,,,,,,,,
17,Sun,December 28,4:25PM ET,preview,,,,@,Buffalo Bills,,,,,,,,,,,,,,,
18,Sun,January 4,1:00PM ET,preview,,,,,Washington Commanders,,,,,,,,,,,,,,,
