header_empty_0,header_td,header_pat,header_fgtot,header_empty_7,ranker,name_display,age,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,def_two_pt,xpm,xpa,fgm
1,Jake Elliott,30,K,11,0,0,0,0,0,0,0,0,0,0,0,30,30,11,14,0,63,5.7,
2,Jalen Hurts,27,QB,11,11,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,48,4.4,
3,Dallas Goedert,30,TE,10,10,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,42,4.2,
4,Saquon Barkley,28,RB,11,11,4,2,0,0,0,0,0,6,0,0,0,0,0,0,0,36,3.3,
5,A.J. Brown,28,WR,10,10,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,24,2.4,
6,DeVonta Smith,27,WR,11,11,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,18,1.6,
7,Sydney Brown,25,S,11,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,0.5,
8,Jordan Davis,25,DT,11,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,0.5,
9,Jahan Dotson,25,WR,11,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
10,Jalyx Hunt,24,OLB,11,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0.5,
