header_empty_0,header_def_int,header_fumbles,header_other_defense,ranker,name_display,age,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists
1,Keeanu Benton,24,DT,11,11,0,0,0,0,0,0,0,0,0,0,4.5,34,17,17,5,10,0,
2,Cameron Heyward,36,DT,11,11,0,0,0,0,6,1,0,0,0,0,1.5,43,17,26,3,5,0,
3,Broderick Jones,24,OT,11,11,0,0,0,0,0,0,0,1,6,0,0.0,0,0,0,0,0,0,
4,Patrick Queen,26,LB,11,11,0,0,0,0,4,1,0,0,0,0,1.0,83,33,50,5,4,0,
5,Jalen Ramsey,31,CB,11,11,1,2,0,2,6,0,0,0,0,0,2.0,56,32,24,2,3,0,
6,T.J. Watt,31,LB,11,11,1,13,0,13,7,3,0,2,0,0,7.0,43,18,25,9,17,0,
7,Aaron Rodgers,42,QB,10,10,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,
8,Darius Slay,34,CB,10,9,0,0,0,0,3,0,0,1,-6,0,0.0,36,28,8,1,0,0,
9,Joey Porter Jr.,25,CB,8,8,1,0,0,0,11,0,0,0,0,0,1.0,28,20,8,0,0,0,
10,Darnell Washington,24,TE,11,8,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
11,Alex Highsmith,28,LB,7,7,0,0,0,0,1,1,0,0,0,0,5.5,24,15,9,6,10,0,
12,DeShon Elliott,28,S,5,5,1,-4,0,-4,2,1,0,0,0,0,1.0,38,20,18,1,3,0,
13,Derrick Harmon,22,DT,9,5,0,0,0,0,1,0,0,1,0,0,2.0,22,9,13,1,4,0,
14,Chuck Clark,30,S,9,4,0,0,0,0,1,1,0,0,0,0,0.0,38,24,14,2,1,0,
15,Kyle Dugger,29,S,4,4,1,73,1,73,3,0,0,0,0,0,0.0,18,8,10,1,0,0,
16,Malik Harrison,27,OLB,5,4,0,0,0,0,0,0,0,0,0,0,0.0,16,8,8,1,0,0,
17,Nick Herbig,24,LB,10,4,1,41,0,41,2,2,0,1,0,1,6.5,24,17,7,10,16,0,
18,Jonnu Smith,30,TE,11,4,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
19,Payton Wilson,25,LB,11,4,1,17,0,17,2,0,0,1,0,0,1.0,89,55,34,5,3,0,
20,Cole Holcomb,29,LB,8,3,0,0,0,0,0,1,0,0,0,0,0.0,26,19,7,0,0,0,
21,Ben Skowronek,28,WR,11,3,0,0,0,0,0,0,0,1,0,0,0.0,15,7,8,0,0,0,
22,Roman Wilson,24,WR,11,3,0,0,0,0,0,0,1,0,0,0,0.0,1,1,0,0,0,0,
23,Brandin Echols,28,CB,11,2,1,0,0,0,3,1,0,1,0,0,0.0,38,27,11,2,1,0,
24,Kenneth Gainwell,26,RB,11,2,0,0,0,0,0,1,2,1,0,0,0.0,3,2,1,0,0,0,
25,James Pierre,29,CB,11,2,0,0,0,0,9,0,0,1,34,1,0.0,20,8,12,1,0,0,
26,Yahya Black,23,DE,11,1,0,0,0,0,0,1,0,1,0,0,0.0,11,2,9,0,1,0,
27,Connor Heyward,26,TE,11,1,0,0,0,0,0,0,0,0,0,0,0.0,7,2,5,0,0,0,
28,Jabrill Peppers,30,S,8,1,0,0,0,0,0,0,0,1,0,0,0.0,11,7,4,0,0,0,
29,Mason Rudolph,30,QB,4,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
30,Juan Thornhill,30,S,9,1,0,0,0,0,1,0,0,1,0,0,0.0,38,23,15,1,0,0,
31,Chris Boswell,34,K,11,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
32,Carson Bruener,24,LB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,11,5,6,0,0,0,
33,Sebastian Castro,25,S,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
34,Daniel Ekuale,31,DT,7,0,0,0,0,0,1,0,0,0,0,0,0.0,6,4,2,0,1,0,
35,Kaleb Johnson,22,RB,7,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
36,Miles Killebrew,32,S,5,0,0,0,0,0,0,0,0,0,0,0,0.0,5,3,2,0,0,0,
37,Christian Kuntz,31,LS,11,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
38,DeMarvin Leal,25,DE,3,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
39,Lew Nichols,24,RB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
40,Esezi Otomewo,27,DE,6,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,
41,Jack Sawyer,23,OLB,11,0,1,4,0,4,3,0,0,0,0,0,1.0,21,9,12,2,4,0,
42,Trey Sermon,26,RB,4,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
43,Ke'Shawn Williams,24,WR,7,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
