header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,Jaylen Warren,27,RB,10,9,141,604,3,36,55.3,37,4.3,60.4,14.1,28,25,219,8.8,1,10,57.1,65,2.5,21.9,89.3,7.8,166,5.0,823,4,0,
2,D.K. Metcalf,28,WR,11,11,2,12,1,1,100.0,6,6.0,1.1,0.2,70,42,573,13.6,5,28,52.9,80,3.8,52.1,60.0,8.2,44,13.3,585,6,0,
3,Kenneth Gainwell,26,RB,11,2,71,336,3,23,57.7,55,4.7,30.5,6.5,48,42,234,5.6,2,10,35.4,28,3.8,21.3,87.5,4.9,113,5.0,570,5,2,
4,Pat Freiermuth,27,TE,11,4,0,0,0,0,,,,0.0,0.0,32,26,298,11.5,4,12,59.4,68,2.4,27.1,81.3,9.3,26,11.5,298,4,0,
5,Calvin Austin III,26,WR,9,7,0,0,0,0,,,,0.0,0.0,42,26,278,10.7,2,10,45.2,30,2.9,30.9,61.9,6.6,26,10.7,278,2,0,
6,Darnell Washington,24,TE,11,8,0,0,0,0,,,,0.0,0.0,28,20,231,11.6,1,12,60.7,36,1.8,21.0,71.4,8.3,20,11.6,231,1,1,
7,Jonnu Smith,30,TE,11,4,3,17,0,1,66.7,10,5.7,1.5,0.3,41,29,184,6.3,2,8,46.3,21,2.6,16.7,70.7,4.5,32,6.3,201,2,1,
8,Roman Wilson,24,WR,11,3,0,0,0,0,,,,0.0,0.0,19,12,166,13.8,2,7,52.6,45,1.1,15.1,63.2,8.7,12,13.8,166,2,1,
9,Kaleb Johnson,22,RB,7,0,22,58,0,2,27.3,9,2.6,8.3,3.1,2,1,9,9.0,0,0,50.0,9,0.1,1.3,50.0,4.5,23,2.9,67,0,1,
10,Ben Skowronek,28,WR,11,3,0,0,0,0,,,,0.0,0.0,4,3,56,18.7,1,3,75.0,22,0.3,5.1,75.0,14.0,3,18.7,56,1,0,
11,Connor Heyward,26,TE,11,1,5,9,0,4,80.0,4,1.8,0.8,0.5,3,2,18,9.0,1,1,66.7,12,0.2,1.6,66.7,6.0,7,3.9,27,1,0,
12,Aaron Rodgers,42,QB,10,10,14,26,0,2,28.6,10,1.9,2.6,1.4,0,0,0,,0,0,,,0.0,0.0,,,14,1.9,26,0,2,
13,Scott Miller,28,WR,8,0,0,0,0,0,,,,0.0,0.0,2,1,9,9.0,0,0,50.0,9,0.1,1.1,50.0,4.5,1,9.0,9,0,0,
14,Mason Rudolph,30,QB,4,1,7,6,0,2,42.9,3,0.9,1.5,1.8,0,0,0,,0,0,,,0.0,0.0,,,7,0.9,6,0,1,
15,Spencer Anderson,25,OL,11,3,0,0,0,0,,,,0.0,0.0,1,1,4,4.0,0,0,0.0,4,0.1,0.4,100.0,4.0,1,4.0,4,0,0,
