header_score,header_off,header_def,header_exp_pts,week_num,game_day_of_week,game_date,game_time,boxscore_word,game_outcome,overtime,team_record,game_location,opp,pts_off,pts_def,first_down_off,yards_off,pass_yds_off,rush_yds_off,to_off,first_down_def,yards_def,pass_yds_def,rush_yds_def
1,Sun,September 7,1:00PM ET,boxscore,W,,1-0,@,New York Jets,34,32,19,271,218,53,,23,394,212,182,1,11.44,-10.83,5.41
2,Sun,September 14,1:00PM ET,boxscore,L,,1-1,,Seattle Seahawks,17,31,13,267,195,72,2,21,395,278,117,2,-8.08,-4.96,-1.94
3,Sun,September 21,1:00PM ET,boxscore,W,,2-1,@,New England Patriots,21,14,17,203,139,64,1,26,369,250,119,5,2.22,2.18,1.65
4,Sun,September 28,9:30AM ET,boxscore,W,,3-1,,Minnesota Vikings,24,21,19,313,182,131,,23,372,302,70,2,9.51,-2.48,-0.40
5,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
6,Sun,October 12,1:00PM ET,boxscore,W,,4-1,,Cleveland Browns,23,9,19,335,235,100,,20,248,183,65,,6.11,7.61,-2.19
7,Thu,October 16,8:15PM ET,boxscore,L,,4-2,@,Cincinnati Bengals,31,33,19,396,249,147,2,27,470,328,142,,17.32,-21.89,3.27
8,Sun,October 26,8:20PM ET,boxscore,L,,4-3,,Green Bay Packers,25,35,16,295,202,93,1,22,454,360,94,,-2.91,-22.81,12.08
9,Sun,November 2,1:00PM ET,boxscore,W,,5-3,,Indianapolis Colts,27,20,17,225,187,38,1,26,368,313,55,6,-3.41,1.99,10.13
10,Sun,November 9,8:20PM ET,boxscore,L,,5-4,@,Los Angeles Chargers,10,25,11,221,148,73,3,18,314,199,115,,-15.16,1.89,-4.62
11,Sun,November 16,1:00PM ET,boxscore,W,,6-4,,Cincinnati Bengals,34,12,22,343,232,111,,17,297,192,105,2,13.87,14.01,-6.96
12,Sun,November 23,1:00PM ET,boxscore,L,,6-5,@,Chicago Bears,28,31,22,345,159,186,2,19,328,229,99,2,4.66,-4.25,-4.79
13,Sun,November 30,4:25PM ET,preview,,,,,Buffalo Bills,,,,,,,,,,,,,,,
14,Sun,December 7,1:00PM ET,preview,,,,@,Baltimore Ravens,,,,,,,,,,,,,,,
15,Mon,December 15,8:15PM ET,preview,,,,,Miami Dolphins,,,,,,,,,,,,,,,
16,Sun,December 21,4:25PM ET,preview,,,,@,Detroit Lions,,,,,,,,,,,,,,,
17,Sun,December 28,1:00PM ET,preview,,,,@,Cleveland Browns,,,,,,,,,,,,,,,
18,Sun,January 4,1:00PM ET,preview,,,,,Baltimore Ravens,,,,,,,,,,,,,,,
