header_empty_0,header_td,header_pat,header_fgtot,header_empty_7,ranker,name_display,age,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,def_two_pt,xpm,xpa,fgm
1,Chris Boswell,34,K,11,0,0,0,0,0,0,0,0,0,0,0,29,29,19,22,0,86,7.8,
2,D.K. Metcalf,28,WR,11,11,1,5,0,0,0,0,0,6,0,0,0,0,0,0,0,36,3.3,
3,Kenneth Gainwell,26,RB,11,2,3,2,0,0,0,0,0,5,0,0,0,0,0,0,0,30,2.7,
4,Pat Freiermuth,27,TE,11,4,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,24,2.2,
5,Jaylen Warren,27,RB,10,9,3,1,0,0,0,0,0,4,0,0,0,0,0,0,0,24,2.4,
6,Calvin Austin III,26,WR,9,7,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.3,
7,Jonnu Smith,30,TE,11,4,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.1,
8,Roman Wilson,24,WR,11,3,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.1,
9,Darnell Washington,24,TE,11,8,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,8,0.7,
10,Kyle Dugger,29,S,4,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,1.5,
11,Nick Herbig,24,LB,10,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,0.6,
12,Connor Heyward,26,TE,11,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
13,James Pierre,29,CB,11,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,0.5,
14,Ben Skowronek,28,WR,11,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
