header_empty_0,header_def_int,header_fumbles,header_other_defense,ranker,name_display,age,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists
1,Jeremy Chinn,27,S,11,11,0,0,0,0,2,2,0,0,0,0,0.0,76,44,32,3,0,0,
2,Maxx Crosby,28,DE,11,11,1,19,0,19,6,2,0,0,0,0,6.0,50,31,19,19,15,0,
3,Ashton Jeanty,22,RB,11,11,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
4,Jordan Meredith,27,G,11,11,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
5,Isaiah Pola-Mao,26,S,11,11,2,0,0,0,3,0,0,0,0,0,0.0,63,38,25,4,0,0,
6,Geno Smith,35,QB,11,11,0,0,0,0,0,0,3,2,-2,0,0.0,0,0,0,0,0,0,
7,Devin White,27,LB,11,11,1,0,0,0,2,1,0,0,0,0,1.0,103,57,46,8,4,0,
8,Adam Butler,31,DT,10,10,0,0,0,0,0,0,0,1,0,0,1.0,33,16,17,3,5,0,
9,Elandon Roberts,31,LB,11,10,0,0,0,0,0,0,0,1,0,0,0.0,55,26,29,3,0,0,
10,Eric Stokes,26,CB,10,10,0,0,0,0,4,0,0,0,0,0,0.0,28,16,12,2,0,0,
11,Thomas Booker,26,DT,11,9,0,0,0,0,3,1,0,1,0,0,0.0,26,9,17,0,2,0,
12,Jonah Laulu,25,DT,11,9,0,0,0,0,5,0,0,0,0,0,4.0,29,13,16,6,7,0,
13,Michael Mayer,24,TE,9,9,0,0,0,0,0,0,0,0,0,0,0.0,4,4,0,0,0,0,
14,Kyu Blu Kelly,24,CB,11,8,2,26,0,26,5,0,0,1,3,0,0.0,37,28,9,1,0,0,
15,Stone Forsythe,28,OL,11,7,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
16,Charles Snowden,27,DE,9,5,1,18,0,18,2,0,0,0,0,0,1.0,18,12,6,3,2,0,
17,Darien Porter,24,CB,11,4,0,0,0,0,0,0,0,0,0,0,0.0,20,14,6,0,0,0,
18,Germaine Pratt,29,LB,4,4,0,0,0,0,2,0,0,0,0,0,0.0,25,10,15,1,0,0,
19,Leki Fotu,27,DT,5,3,0,0,0,0,0,0,0,0,0,0,1.0,6,3,3,3,1,0,
20,Jamal Adams,30,LB,11,2,0,0,0,0,0,0,0,0,0,0,1.0,30,19,11,2,2,0,
21,Jack Bech,23,WR,11,2,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
22,Jamin Davis,27,LB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,
23,Malcolm Koonce,27,DE,11,1,0,0,0,0,0,1,0,0,0,0,2.0,20,8,12,3,4,0,
24,Tyree Wilson,25,DE,11,1,0,0,0,0,1,0,0,1,0,0,2.0,21,16,5,5,4,0,
25,Alex Bachman,29,WR,8,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0,0,0,
26,Jacob Bobenmoyer,28,LS,11,0,0,0,0,0,0,0,0,0,0,0,0.0,4,1,3,0,0,0,
27,Daniel Carlson,30,K,11,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
28,AJ Cole III,30,P,11,0,0,0,0,0,0,0,1,1,0,0,0.0,1,1,0,0,0,0,
29,Tommy Eichenberg,24,LB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,16,8,8,0,0,0,
30,Tonka Hemingway,24,DT,4,0,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,
31,Darnay Holmes,27,CB,10,0,0,0,0,0,0,0,0,0,0,0,0.0,15,10,5,0,0,0,
32,Brennan Jackson,25,OLB,3,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,
33,Lonnie Johnson Jr.,30,S,3,0,0,0,0,0,1,0,0,0,0,0,0.0,7,3,4,0,0,0,
34,Dylan Laube,26,RB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0,0,0,
35,Cody Lindenberg,23,LB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,5,3,2,0,0,0,
36,Tristin McCollum,26,S,10,0,0,0,0,0,1,0,0,0,0,0,0.0,10,8,2,1,0,0,
37,JJ Pegues,24,DT,3,0,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,1,0,0,
38,Kenny Pickett,27,QB,2,0,0,0,0,0,0,0,1,0,-2,0,0.0,0,0,0,0,0,0,
39,Jon Rhattigan,26,LB,6,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,
40,Decamerion Richardson,24,CB,9,0,0,0,0,0,0,0,0,0,0,0,0.0,6,5,1,0,0,0,
41,Carter Runyon,24,TE,7,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
42,Justin Shorter,25,WR,7,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,3,0,0,0,
43,Christopher Smith,25,S,9,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,
44,Greedy Vance,24,CB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
