header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,Ashton Jeanty,22,RB,11,11,166,604,4,30,42.8,64,3.6,54.9,15.1,46,37,221,6.0,4,11,47.8,29,3.4,20.1,80.4,4.8,203,4.1,825,8,2,
2,Tre Tucker,24,WR,11,11,6,36,0,0,83.3,9,6.0,3.3,0.5,64,41,530,12.9,5,24,46.9,61,3.7,48.2,64.1,8.3,47,12.0,566,5,0,
3,Brock Bowers,23,TE,8,4,2,2,0,0,50.0,6,1.0,0.3,0.3,64,45,510,11.3,3,24,60.9,38,5.6,63.8,70.3,8.0,47,10.9,512,3,0,
4,Jakobi Meyers,29,WR,7,6,0,0,0,0,,,,0.0,0.0,49,33,352,10.7,0,15,59.2,45,4.7,50.3,67.3,7.2,33,10.7,352,0,0,
5,Michael Mayer,24,TE,9,9,0,0,0,0,,,,0.0,0.0,32,22,182,8.3,1,11,43.8,22,2.4,20.2,68.8,5.7,22,8.3,182,1,0,
6,Raheem Mostert,33,RB,8,0,20,92,0,5,40.0,37,4.6,11.5,2.5,9,9,63,7.0,0,6,77.8,18,1.1,7.9,100.0,7.0,29,5.3,155,0,0,
7,Tyler Lockett,33,WR,4,0,0,0,0,0,,,,0.0,0.0,15,12,139,11.6,0,7,60.0,33,3.0,34.8,80.0,9.3,12,11.6,139,0,0,
8,Dont'e Thornton,23,WR,10,6,0,0,0,0,,,,0.0,0.0,23,7,112,16.0,0,5,26.1,36,0.7,11.2,30.4,4.9,7,16.0,112,0,0,
9,Geno Smith,35,QB,11,11,37,110,0,13,43.2,20,3.0,10.0,3.4,0,0,0,,0,0,,,0.0,0.0,,,37,3.0,110,0,3,
10,Jack Bech,23,WR,11,2,0,0,0,0,,,,0.0,0.0,12,8,92,11.5,0,6,58.3,23,0.7,8.4,66.7,7.7,8,11.5,92,0,0,
11,Ian Thomas,29,TE,11,6,0,0,0,0,,,,0.0,0.0,10,10,89,8.9,0,3,70.0,20,0.9,8.1,100.0,8.9,10,8.9,89,0,0,
12,Zamir White,26,RB,4,0,10,25,0,0,20.0,9,2.5,6.3,2.5,5,3,19,6.3,0,0,40.0,9,0.8,4.8,60.0,3.8,13,3.4,44,0,0,
13,Albert Okwuegbunam,27,TE,1,0,0,0,0,0,,,,0.0,0.0,6,5,36,7.2,0,2,50.0,16,5.0,36.0,83.3,6.0,5,7.2,36,0,0,
14,Dylan Laube,26,RB,11,0,5,5,0,0,0.0,2,1.0,0.5,0.5,4,3,18,6.0,0,1,50.0,13,0.3,1.6,75.0,4.5,8,2.9,23,0,0,
15,Alex Bachman,29,WR,8,0,0,0,0,0,,,,0.0,0.0,2,1,9,9.0,0,1,50.0,9,0.1,1.1,50.0,4.5,1,9.0,9,0,0,
16,Carter Runyon,24,TE,7,0,0,0,0,0,,,,0.0,0.0,1,1,3,3.0,0,0,0.0,3,0.1,0.4,100.0,3.0,1,3.0,3,0,0,
17,Alex Cappa,30,G,11,2,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
18,Kenny Pickett,27,QB,2,0,1,0,0,0,0.0,,0.0,0.0,0.5,0,0,0,,0,0,,,0.0,0.0,,,1,0.0,0,0,1,
