header_score,header_off,header_def,header_exp_pts,week_num,game_day_of_week,game_date,game_time,boxscore_word,game_outcome,overtime,team_record,game_location,opp,pts_off,pts_def,first_down_off,yards_off,pass_yds_off,rush_yds_off,to_off,first_down_def,yards_def,pass_yds_def,rush_yds_def
1,Sun,September 7,1:00PM ET,boxscore,W,,1-0,@,New England Patriots,20,13,21,389,333,56,1,18,336,276,60,1,7.21,-1.07,4.37
2,Mon,September 15,10:00PM ET,boxscore,L,,1-1,,Los Angeles Chargers,9,20,15,218,150,68,3,15,317,236,81,1,-16.29,-0.98,2.92
3,Sun,September 21,1:00PM ET,boxscore,L,,1-2,@,Washington Commanders,24,41,17,354,261,93,,17,400,199,201,1,1.89,-15.53,-6.14
4,Sun,September 28,4:25PM ET,boxscore,L,,1-3,,Chicago Bears,24,25,17,357,117,240,4,16,271,202,69,1,1.95,7.88,-9.15
5,Sun,October 5,1:00PM ET,boxscore,L,,1-4,@,Indianapolis Colts,6,40,22,296,190,106,2,24,317,221,96,,-5.21,-24.64,4.69
6,Sun,October 12,4:05PM ET,boxscore,W,,2-4,,Tennessee Titans,20,10,16,226,158,68,1,15,225,160,65,3,-3.00,11.81,2.48
7,Sun,October 19,1:00PM ET,boxscore,L,,2-5,@,Kansas City Chiefs,0,31,3,95,70,25,1,30,434,282,152,,-20.20,-19.79,10.92
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Sun,November 2,4:05PM ET,boxscore,L,OT,2-6,,Jacksonville Jaguars,29,30,26,331,274,57,1,26,367,216,151,1,12.36,-12.59,-1.77
10,Thu,November 6,8:15PM ET,boxscore,L,,2-7,@,Denver Broncos,7,10,10,188,114,74,1,10,220,136,84,2,-21.77,15.92,-1.03
11,Mon,November 17,8:15PM ET,boxscore,L,,2-8,,Dallas Cowboys,16,33,17,236,209,27,1,24,381,267,114,1,-8.17,-9.25,-0.43
12,Sun,November 23,4:05PM ET,boxscore,L,,2-9,,Cleveland Browns,10,24,19,268,208,60,1,11,270,206,64,2,-16.61,7.48,-1.96
13,Sun,November 30,4:25PM ET,preview,,,,@,Los Angeles Chargers,,,,,,,,,,,,,,,
14,Sun,December 7,4:05PM ET,preview,,,,,Denver Broncos,,,,,,,,,,,,,,,
15,Sun,December 14,1:00PM ET,preview,,,,@,Philadelphia Eagles,,,,,,,,,,,,,,,
16,Sun,December 21,4:25PM ET,preview,,,,@,Houston Texans,,,,,,,,,,,,,,,
17,Sun,December 28,1:00PM ET,preview,,,,,New York Giants,,,,,,,,,,,,,,,
18,Sun,January 4,1:00PM ET,preview,,,,,Kansas City Chiefs,,,,,,,,,,,,,,,
