header_empty_0,header_def_int,header_fumbles,header_other_defense,ranker,name_display,age,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists
1,Kamren Curl,26,S,11,11,2,0,0,0,4,0,0,0,0,0,1.0,87,59,28,2,1,0,
2,Braden Fiske,25,DE,11,11,0,0,0,0,1,0,0,1,0,0,1.0,19,7,12,1,4,0,
3,Nathan Landman,27,LB,11,11,0,0,0,0,4,4,0,2,0,0,1.5,98,49,49,5,3,0,
4,Matthew Stafford,37,QB,11,11,0,0,0,0,0,0,5,2,-30,0,0.0,0,0,0,0,0,0,
5,Kobie Turner,26,DE,11,11,0,0,0,0,1,0,0,0,0,0,3.5,28,14,14,4,8,0,
6,Jared Verse,25,OLB,11,11,0,0,0,0,1,3,0,0,0,0,6.0,39,24,15,9,20,0,
7,Kyren Williams,25,RB,11,11,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
8,Byron Young,27,OLB,11,11,0,0,0,0,0,1,0,0,0,0,9.0,53,32,21,9,18,0,
9,Quentin Lake,26,S,10,10,1,0,0,0,10,1,0,1,20,0,1.0,61,37,24,2,2,0,
10,Omar Speights,24,LB,10,10,0,0,0,0,0,0,0,0,0,0,0.0,49,25,24,0,0,0,
11,Cobie Durant,27,CB,11,9,3,60,1,50,7,0,0,0,0,0,0.0,28,22,6,1,0,0,
12,Puka Nacua,24,WR,10,9,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
13,Emmanuel Forbes,24,CB,11,8,3,43,0,31,13,1,0,0,0,0,0.0,27,21,6,0,0,0,
14,Kamren Kinchens,23,S,11,7,2,53,0,31,6,0,0,2,13,0,0.0,55,37,18,0,1,0,
15,Jordan Whittington,25,WR,11,6,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
16,Poona Ford,30,NT,11,5,0,0,0,0,1,0,0,0,0,0,1.0,30,12,18,3,2,0,
17,Colby Parkinson,26,TE,9,4,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
18,Darious Williams,32,CB,9,3,1,18,0,18,8,0,0,0,0,0,0.0,21,15,6,1,0,0,
19,Ahkello Witherspoon,30,CB,2,2,0,0,0,0,1,0,0,0,0,0,0.0,3,3,0,0,0,0,
20,Davis Allen,24,TE,11,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
21,Troy Reeder,31,LB,11,1,0,0,0,0,1,0,0,0,0,0,0.0,16,10,6,0,0,0,
22,Xavier Smith,28,WR,10,1,0,0,0,0,0,0,0,0,0,0,0.0,4,1,3,0,0,0,
23,Blake Corum,25,RB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
24,Tyler Davis,25,DE,11,0,0,0,0,0,2,0,0,1,0,0,1.0,31,12,19,1,1,0,
25,Shaun Dolac,24,LB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,21,14,7,2,0,0,
26,Ethan Evans,24,P,11,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
27,Ty Hamilton,23,DT,10,0,0,0,0,0,0,0,0,0,0,0,0.0,6,1,5,0,1,0,
28,Nick Hampton,25,OLB,10,0,0,0,0,0,0,0,0,0,0,0,0.0,8,2,6,0,0,0,
29,Joshua Karty,23,K,8,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
30,Jaylen McCollough,25,S,11,0,0,0,0,0,3,0,0,0,0,0,2.0,30,23,7,2,2,0,
31,Larrell Murchison,28,DE,11,0,0,0,0,0,0,0,0,0,0,0,2.0,7,2,5,2,2,0,
32,Josaiah Stewart,22,OLB,11,0,0,0,0,0,2,0,0,0,0,0,2.0,15,8,7,2,5,0,
33,Josh Wallace,25,CB,11,0,0,0,0,0,1,0,0,0,0,0,0.0,10,8,2,0,0,0,
34,Alex Ward,26,LS,8,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
