header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,Puka Nacua,24,WR,10,9,6,73,1,3,66.7,45,12.2,7.3,0.6,98,80,947,11.8,4,48,72.4,39,8.0,94.7,81.6,9.7,86,11.9,1020,5,1,
2,Kyren Williams,25,RB,11,11,170,796,6,49,61.2,34,4.7,72.4,15.5,32,24,184,7.7,3,8,43.8,30,2.2,16.7,75.0,5.8,194,5.1,980,9,2,
3,Davante Adams,33,WR,11,11,0,0,0,0,,,,0.0,0.0,94,48,631,13.1,12,40,51.1,44,4.4,57.4,51.1,6.7,48,13.1,631,12,0,
4,Blake Corum,25,RB,11,0,82,341,1,21,51.2,21,4.2,31.0,7.5,10,5,10,2.0,0,0,20.0,14,0.5,0.9,50.0,1.0,87,4.0,351,1,0,
5,Tyler Higbee,32,TE,9,7,0,0,0,0,,,,0.0,0.0,30,20,190,9.5,2,12,53.3,24,2.2,21.1,66.7,6.3,20,9.5,190,2,0,
6,Tutu Atwell,26,WR,6,4,0,0,0,0,,,,0.0,0.0,9,4,164,41.0,1,3,44.4,88,0.7,27.3,44.4,18.2,4,41.0,164,1,0,
7,Colby Parkinson,26,TE,9,4,0,0,0,0,,,,0.0,0.0,21,19,164,8.6,3,11,76.2,23,2.1,18.2,90.5,7.8,19,8.6,164,3,1,
8,Jordan Whittington,25,WR,11,6,3,12,0,0,66.7,6,4.0,1.1,0.3,21,16,147,9.2,0,6,47.6,40,1.5,13.4,76.2,7.0,19,8.4,159,0,0,
9,Terrance Ferguson,22,TE,9,1,1,0,0,0,0.0,,0.0,0.0,0.1,12,5,138,27.6,1,5,41.7,36,0.6,15.3,41.7,11.5,6,23.0,138,1,0,
10,Davis Allen,24,TE,11,1,0,0,0,0,,,,0.0,0.0,20,16,133,8.3,3,8,65.0,20,1.5,12.1,80.0,6.7,16,8.3,133,3,0,
11,Xavier Smith,28,WR,10,1,0,0,0,0,,,,0.0,0.0,10,7,85,12.1,0,3,70.0,36,0.7,8.5,70.0,8.5,7,12.1,85,0,0,
12,Konata Mumpfield,23,WR,11,0,0,0,0,0,,,,0.0,0.0,7,4,37,9.3,1,4,57.1,14,0.4,3.4,57.1,5.3,4,9.3,37,1,0,
13,Jimmy Garoppolo,34,QB,1,0,3,-3,0,0,0.0,-1,-1.0,-3.0,3.0,0,0,0,,0,0,,,0.0,0.0,,,3,-1.0,-3,0,0,
14,Matthew Stafford,37,QB,11,11,24,-9,0,0,0.0,6,-0.4,-0.8,2.2,0,0,0,,0,0,,,0.0,0.0,,,24,-0.4,-9,0,5,
