header_score,header_off,header_def,header_exp_pts,week_num,game_day_of_week,game_date,game_time,boxscore_word,game_outcome,overtime,team_record,game_location,opp,pts_off,pts_def,first_down_off,yards_off,pass_yds_off,rush_yds_off,to_off,first_down_def,yards_def,pass_yds_def,rush_yds_def
1,Sun,September 7,4:25PM ET,boxscore,W,,1-0,,Houston Texans,14,9,18,296,224,72,1,18,265,151,114,2,4.69,5.99,-4.92
2,Sun,September 14,1:00PM ET,boxscore,W,,2-0,@,Tennessee Titans,33,19,22,439,290,149,1,18,252,143,109,1,14.23,4.30,-4.91
3,Sun,September 21,1:00PM ET,boxscore,L,,2-1,@,Philadelphia Eagles,26,33,22,356,196,160,1,19,288,202,86,1,3.39,-4.15,-6.83
4,Sun,September 28,4:05PM ET,boxscore,W,,3-1,,Indianapolis Colts,27,20,24,462,360,102,1,17,333,248,85,3,9.32,2.32,-4.14
5,Thu,October 2,8:15PM ET,boxscore,L,OT,3-2,,San Francisco 49ers,23,26,27,456,378,78,2,27,407,333,74,,12.67,-11.07,-4.60
6,Sun,October 12,1:00PM ET,boxscore,W,,4-2,@,Baltimore Ravens,17,3,15,241,167,74,1,19,296,117,179,3,0.43,19.02,-4.19
7,Sun,October 19,9:30AM ET,boxscore,W,,5-2,@,Jacksonville Jaguars,35,7,26,271,182,89,,21,358,264,94,,15.94,6.14,3.09
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Sun,November 2,4:05PM ET,boxscore,W,,6-2,,New Orleans Saints,34,10,30,438,267,171,,10,224,167,57,2,27.61,8.48,-11.17
10,Sun,November 9,4:25PM ET,boxscore,W,,7-2,@,San Francisco 49ers,42,26,31,401,275,126,,24,393,319,74,2,30.82,-9.67,-2.09
11,Sun,November 16,4:05PM ET,boxscore,W,,8-2,,Seattle Seahawks,21,19,12,249,130,119,1,26,414,279,135,4,-4.07,6.85,-3.04
12,Sun,November 23,8:20PM ET,boxscore,W,,9-2,,Tampa Bay Buccaneers,34,7,20,333,263,70,,14,193,70,123,2,9.12,19.70,-3.17
13,Sun,November 30,1:00PM ET,preview,,,,@,Carolina Panthers,,,,,,,,,,,,,,,
14,Sun,December 7,4:25PM ET,preview,,,,@,Arizona Cardinals,,,,,,,,,,,,,,,
15,Sun,December 14,4:25PM ET,preview,,,,,Detroit Lions,,,,,,,,,,,,,,,
16,Thu,December 18,8:15PM ET,preview,,,,@,Seattle Seahawks,,,,,,,,,,,,,,,
17,Mon,December 29,8:15PM ET,preview,,,,@,Atlanta Falcons,,,,,,,,,,,,,,,
18,Sun,January 4,1:00PM ET,preview,,,,,Arizona Cardinals,,,,,,,,,,,,,,,
