header_empty_0,header_td,header_pat,header_fgtot,header_empty_7,ranker,name_display,age,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,def_two_pt,xpm,xpa,fgm
1,Davante Adams,33,WR,11,11,0,12,0,0,0,0,0,12,0,0,0,0,0,0,0,72,6.5,
2,Kyren Williams,25,RB,11,11,6,3,0,0,0,0,0,9,0,0,0,0,0,0,0,54,4.9,
3,Joshua Karty,23,K,8,0,0,0,0,0,0,0,0,0,0,0,23,26,10,15,0,53,6.6,
4,Puka Nacua,24,WR,10,9,1,4,0,0,0,0,0,5,0,0,0,0,0,0,0,30,3.0,
5,Harrison Mevis,23,K,3,0,0,0,0,0,0,0,0,0,0,0,13,13,2,2,0,19,6.3,
6,Davis Allen,24,TE,11,1,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,18,1.6,
7,Colby Parkinson,26,TE,9,4,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,18,2.0,
8,Tyler Higbee,32,TE,9,7,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.3,
9,Tutu Atwell,26,WR,6,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1.0,
10,Blake Corum,25,RB,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
11,Cobie Durant,27,CB,11,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0.5,
12,Terrance Ferguson,22,TE,9,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.7,
13,Konata Mumpfield,23,WR,11,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
