header_empty_0,header_def_int,header_fumbles,header_other_defense,ranker,name_display,age,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists
1,Zay Flowers,25,WR,11,11,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
2,Derrick Henry,31,RB,11,11,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,
3,Teddye Buchanan,23,LB,11,10,0,0,0,0,1,1,0,0,0,0,0.5,80,43,37,4,2,0,
4,Kyle Hamilton,24,S,10,10,0,0,0,0,6,2,0,0,0,0,1.0,69,38,31,5,4,0,
5,Travis Jones,26,DL,10,10,0,0,0,0,2,0,0,0,0,0,1.5,27,14,13,5,4,0,
6,Malaki Starks,22,S,11,10,2,9,0,9,2,0,0,0,0,0,0.0,59,33,26,1,1,0,
7,Nate Wiggins,22,CB,11,10,3,84,0,61,7,0,0,0,0,0,0.0,45,36,9,2,0,0,
8,Marlon Humphrey,29,CB,9,9,1,27,0,27,5,2,0,1,0,0,0.0,37,29,8,1,1,0,
9,Roquan Smith,28,LB,9,9,0,0,0,0,3,0,0,1,63,1,0.0,79,51,28,4,4,0,
10,Mark Andrews,30,TE,11,8,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
11,Lamar Jackson,28,QB,8,8,0,0,0,0,0,0,4,2,0,0,0.0,0,0,0,0,0,0,
12,John Jenkins,36,DT,11,8,0,0,0,0,1,1,0,1,13,0,1.0,26,11,15,2,1,0,
13,Kyle Van Noy,34,OLB,9,8,0,0,0,0,1,0,0,0,0,0,2.0,13,8,5,4,7,0,
14,Alohi Gilman,28,S,6,6,0,0,0,0,2,1,0,2,11,0,0.0,26,13,13,0,1,0,
15,Tavius Robinson,26,OLB,6,6,0,0,0,0,1,1,0,0,0,0,2.0,17,9,8,2,4,0,
16,Chidobe Awuzie,30,CB,9,5,0,0,0,0,5,0,0,0,0,0,0.0,27,15,12,0,1,0,
