header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,Derrick Henry,31,RB,11,11,187,871,9,42,49.7,59,4.7,79.2,17.0,17,13,98,7.5,0,3,52.9,19,1.2,8.9,76.5,5.8,200,4.8,969,9,3,
2,Zay Flowers,25,WR,11,11,8,42,0,2,75.0,11,5.3,3.8,0.7,77,58,761,13.1,1,31,62.3,56,5.3,69.2,75.3,9.9,66,12.2,803,1,1,
3,Mark Andrews,30,TE,11,8,9,45,1,6,66.7,35,5.0,4.1,0.8,46,33,285,8.6,5,19,56.5,27,3.0,25.9,71.7,6.2,42,7.9,330,6,1,
4,Justice Hill,28,RB,10,0,18,93,2,4,33.3,71,5.2,9.3,1.8,27,21,169,8.0,1,6,37.0,37,2.1,16.9,77.8,6.3,39,6.7,262,3,1,
5,Lamar Jackson,28,QB,8,8,46,237,1,15,45.7,19,5.2,29.6,5.8,0,0,0,,0,0,,,0.0,0.0,,,46,5.2,237,1,4,
6,DeAndre Hopkins,33,WR,11,3,0,0,0,0,,,,0.0,0.0,26,15,232,15.5,2,10,53.8,41,1.4,21.1,57.7,8.9,15,15.5,232,2,0,
7,Rashod Bateman,26,WR,9,8,0,0,0,0,,,,0.0,0.0,31,16,194,12.1,2,10,41.9,36,1.8,21.6,51.6,6.3,16,12.1,194,2,0,
8,Keaton Mitchell,23,RB,7,0,23,134,0,7,52.2,25,5.8,19.1,3.3,6,5,44,8.8,0,1,50.0,17,0.7,6.3,83.3,7.3,28,6.4,178,0,1,
9,Isaiah Likely,25,TE,8,5,0,0,0,0,,,,0.0,0.0,19,13,128,9.8,0,5,31.6,35,1.6,16.0,68.4,6.7,13,9.8,128,0,1,
10,Tyler Huntley,27,QB,2,1,11,92,0,6,63.6,29,8.4,46.0,5.5,0,0,0,,0,0,,,0.0,0.0,,,11,8.4,92,0,0,
11,Devontez Walker,24,WR,7,1,0,0,0,0,,,,0.0,0.0,4,4,90,22.5,2,4,100.0,34,0.6,12.9,100.0,22.5,4,22.5,90,2,0,
12,Charlie Kolar,26,TE,11,4,0,0,0,0,,,,0.0,0.0,11,7,88,12.6,2,6,63.6,23,0.6,8.0,63.6,8.0,7,12.6,88,2,0,
13,Tylan Wallace,26,WR,11,2,0,0,0,0,,,,0.0,0.0,8,4,45,11.3,1,3,37.5,15,0.4,4.1,50.0,5.6,4,11.3,45,1,0,
14,Rasheen Ali,24,RB,9,0,1,5,0,0,100.0,5,5.0,0.6,0.1,1,1,15,15.0,0,1,100.0,15,0.1,1.7,100.0,15.0,2,10.0,20,0,0,
15,Zaire Mitchell-Paden,26,TE,6,1,0,0,0,0,,,,0.0,0.0,2,1,3,3.0,0,0,0.0,3,0.2,0.5,50.0,1.5,1,3.0,3,0,0,
16,Patrick Ricard,31,FB,5,1,1,3,0,1,100.0,3,3.0,0.6,0.2,0,0,0,,0,0,,,0.0,0.0,,,1,3.0,3,0,0,
17,Cooper Rush,32,QB,4,2,4,-4,0,0,0.0,,-1.0,-1.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,4,-1.0,-4,0,1,
