header_empty_0,header_td,header_pat,header_fgtot,header_empty_7,ranker,name_display,age,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,def_two_pt,xpm,xpa,fgm
1,Tyler Loop,24,K,11,0,0,0,0,0,0,0,0,0,0,0,27,28,22,24,0,93,8.5,
2,Derrick Henry,31,RB,11,11,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,54,4.9,
3,Mark Andrews,30,TE,11,8,1,5,0,0,0,0,0,6,0,0,0,0,0,0,0,36,3.3,
4,Justice Hill,28,RB,10,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,18,1.8,
5,Rashod Bateman,26,WR,9,8,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,14,1.6,
6,DeAndre Hopkins,33,WR,11,3,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.1,
7,Charlie Kolar,26,TE,11,4,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.1,
8,Devontez Walker,24,WR,7,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.7,
9,Zay Flowers,25,WR,11,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
10,Lamar Jackson,28,QB,8,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.8,
11,Roquan Smith,28,LB,9,9,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,0.7,
12,Tylan Wallace,26,WR,11,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
