header_empty_0,header_def_int,header_fumbles,header_other_defense,ranker,name_display,age,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists
1,Daiyan Henley,26,LB,11,11,1,8,0,8,3,0,0,0,0,0,3.0,72,39,33,4,4,0,
2,Justin Herbert,27,QB,11,11,0,0,0,0,0,0,2,0,-7,0,0.0,0,0,0,0,0,0,
3,Derwin James,29,S,11,11,1,21,0,21,4,0,0,0,0,0,1.5,65,35,30,5,7,0,
4,Teair Tart,28,DL,11,11,0,0,0,0,2,1,0,1,0,0,0.0,20,14,6,3,1,0,
5,Tuli Tuipulotu,23,OLB,11,11,0,0,0,0,2,2,0,0,0,0,8.0,29,20,9,12,14,0,
6,Donte Jackson,30,CB,11,10,3,21,0,21,8,0,0,0,0,0,0.0,19,12,7,1,0,0,
7,Quentin Johnston,24,WR,10,8,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
8,Elijah Molden,26,DB,8,8,0,0,0,0,0,0,0,0,0,0,0.0,37,22,15,0,0,0,
9,Tarheeb Still,23,CB,9,8,0,0,0,0,6,0,0,0,0,0,0.0,32,23,9,2,2,0,
10,Da'Shawn Hand,30,DL,7,7,0,0,0,0,1,0,0,0,0,0,1.0,15,9,6,3,4,0,
11,Khalil Mack,34,OLB,7,6,0,0,0,0,0,2,0,0,0,0,4.0,14,12,2,4,5,1,
12,Denzel Perryman,33,LB,6,6,0,0,0,0,2,0,0,0,0,0,0.0,22,15,7,1,0,0,
13,Kimani Vidal,24,RB,8,6,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
14,Jamaree Caldwell,25,DT,11,5,0,0,0,0,0,0,0,0,0,0,1.0,20,10,10,3,1,0,
15,Tyler Conklin,30,TE,11,5,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
16,Troy Dye,29,LB,10,5,0,0,0,0,1,0,0,0,0,0,1.0,49,22,27,4,1,0,
17,Alohi Gilman,28,S,5,5,0,0,0,0,3,0,0,0,0,0,0.0,22,11,11,0,0,0,
18,Omarion Hampton,22,RB,5,5,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
19,Bud Dupree,32,OLB,11,4,0,0,0,0,1,0,0,0,0,0,1.0,14,7,7,1,1,0,
20,Oronde Gadsden II,22,TE,9,4,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
21,Tony Jefferson,33,S,7,4,2,2,0,2,4,0,0,0,0,0,0.0,24,15,9,0,0,0,
22,Cam Hart,25,CB,10,3,0,0,0,0,7,0,0,0,0,0,0.0,31,26,5,0,1,0,
23,Keenan Allen,33,WR,11,2,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
24,R.J. Mickens,24,S,8,2,2,25,0,15,2,0,0,0,0,0,0.0,23,15,8,0,0,0,
25,Benjamin St-Juste,28,CB,11,2,1,0,0,0,5,0,0,0,0,0,0.0,24,16,8,0,0,0,
26,Justin Eboigbe,24,DL,11,1,0,0,0,0,0,0,0,0,0,0,4.0,28,20,8,4,8,0,
27,Odafe Oweh,27,OLB,6,1,0,0,0,0,0,0,0,0,0,0,4.0,15,6,9,4,6,0,
28,Derius Davis,25,WR,8,0,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
29,Cameron Dicker,25,K,11,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,
30,Clelin Ferrell,28,OLB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
31,Hassan Haskins,26,RB,7,0,0,0,0,0,0,0,0,0,0,0,0.0,7,3,4,0,0,0,
32,Naquan Jones,27,DL,8,0,0,0,0,0,1,0,0,0,0,0,0.0,10,6,4,1,0,0,
33,Kyle Kennard,24,OLB,3,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
34,Caleb Murphy,26,OLB,6,0,0,0,0,0,0,0,0,0,0,0,0.5,12,5,7,0,1,0,
35,Otito Ogbonnia,25,DL,4,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
36,Del'Shawn Phillips,29,LB,11,0,0,0,0,0,0,0,0,1,0,0,0.0,13,5,8,0,0,0,
37,Nikko Reed,22,CB,4,0,0,0,0,0,1,0,0,0,0,0,0.0,2,1,1,0,0,0,
38,Ja'Sir Taylor,26,DB,9,0,0,0,0,0,0,0,0,0,0,0,0.0,8,6,2,0,0,0,
39,Marlowe Wax,23,LB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,12,4,8,0,0,0,
40,Kendall Williamson,25,S,11,0,0,0,0,0,0,0,0,0,0,0,0.0,8,5,3,0,0,0,
