header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,Ladd McConkey,24,WR,11,9,0,0,0,0,,,,0.0,0.0,84,54,644,11.9,4,29,52.4,58,4.9,58.5,64.3,7.7,54,11.9,644,4,0,
2,Keenan Allen,33,WR,11,2,0,0,0,0,,,,0.0,0.0,86,56,592,10.6,4,36,57.0,31,5.1,53.8,65.1,6.9,56,10.6,592,4,1,
3,Quentin Johnston,24,WR,10,8,2,7,0,0,50.0,9,3.5,0.7,0.2,65,37,502,13.6,6,18,43.1,60,3.7,50.2,56.9,7.7,39,13.1,509,6,1,
4,Oronde Gadsden II,22,TE,9,4,0,0,0,0,,,,0.0,0.0,49,37,507,13.7,2,20,73.5,53,4.1,56.3,75.5,10.3,37,13.7,507,2,1,
5,Kimani Vidal,24,RB,8,6,96,417,2,24,47.9,38,4.3,52.1,12.0,16,12,52,4.3,1,3,37.5,13,1.5,6.5,75.0,3.3,108,4.3,469,3,1,
6,Omarion Hampton,22,RB,5,5,66,314,2,17,47.0,54,4.8,62.8,13.2,22,20,136,6.8,0,5,54.5,22,4.0,27.2,90.9,6.2,86,5.2,450,2,1,
7,Justin Herbert,27,QB,11,11,54,345,1,26,66.7,41,6.4,31.4,4.9,0,0,0,,0,0,,,0.0,0.0,,,54,6.4,345,1,2,
8,Tre Harris,23,WR,11,5,0,0,0,0,,,,0.0,0.0,20,16,137,8.6,1,8,60.0,24,1.5,12.5,80.0,6.9,16,8.6,137,1,0,
9,Tyler Conklin,30,TE,11,5,1,2,0,1,100.0,2,2.0,0.2,0.1,9,6,95,15.8,0,3,44.4,33,0.5,8.6,66.7,10.6,7,13.9,97,0,1,
10,Najee Harris,27,RB,3,0,15,61,0,3,86.7,7,4.1,20.3,5.0,3,3,25,8.3,0,1,66.7,11,1.0,8.3,100.0,8.3,18,4.8,86,0,0,
11,Jaret Patterson,26,RB,3,0,21,75,0,3,52.4,9,3.6,25.0,7.0,0,0,0,,0,0,,,0.0,0.0,,,21,3.6,75,0,0,
12,Will Dissly,29,TE,4,1,0,0,0,0,,,,0.0,0.0,5,4,43,10.8,0,2,80.0,18,1.0,10.8,80.0,8.6,4,10.8,43,0,0,
13,Hassan Haskins,26,RB,7,0,12,30,0,2,25.0,10,2.5,4.3,1.7,4,4,13,3.3,0,0,25.0,9,0.6,1.9,100.0,3.3,16,2.7,43,0,0,
14,Tucker Fisk,26,TE,9,6,0,0,0,0,,,,0.0,0.0,4,2,19,9.5,0,1,25.0,12,0.2,2.1,50.0,4.8,2,9.5,19,0,0,
15,Trey Lance,25,QB,2,0,4,12,0,1,25.0,11,3.0,6.0,2.0,0,0,0,,0,0,,,0.0,0.0,,,4,3.0,12,0,0,
16,Derius Davis,25,WR,8,0,2,5,0,0,0.0,3,2.5,0.6,0.3,2,1,3,3.0,0,0,50.0,3,0.1,0.4,50.0,1.5,3,2.7,8,0,1,
17,Amar Johnson,22,RB,2,0,2,8,0,0,50.0,6,4.0,4.0,1.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,2,4.0,8,0,0,
18,Scott Matlock,25,FB,10,3,0,0,0,0,,,,0.0,0.0,2,2,3,1.5,1,1,50.0,2,0.2,0.3,100.0,1.5,2,1.5,3,1,0,
19,KeAndre Lambert-Smith,24,WR,6,1,0,0,0,0,,,,0.0,0.0,4,1,1,1.0,0,0,0.0,1,0.2,0.2,25.0,0.3,1,1.0,1,0,0,
20,Trayveon Williams,28,RB,2,0,3,-1,0,0,0.0,2,-0.3,-0.5,1.5,1,1,0,0.0,0,0,0.0,,0.5,0.0,100.0,0.0,4,-0.3,-1,0,0,
21,Nyheim Hines,29,RB,3,0,2,-2,0,0,0.0,1,-1.0,-0.7,0.7,0,0,0,,0,0,,,0.0,0.0,,,2,-1.0,-2,0,0,
