header_empty_0,header_td,header_pat,header_fgtot,header_empty_7,ranker,name_display,age,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,def_two_pt,xpm,xpa,fgm
1,Cameron Dicker,25,K,11,0,0,0,0,0,0,0,0,0,0,0,23,23,25,27,0,98,8.9,
2,Quentin Johnston,24,WR,10,8,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,36,3.6,
3,Keenan Allen,33,WR,11,2,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,24,2.2,
4,Ladd McConkey,24,WR,11,9,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,24,2.2,
5,Kimani Vidal,24,RB,8,6,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,18,2.3,
6,Oronde Gadsden II,22,TE,9,4,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.3,
7,Omarion Hampton,22,RB,5,5,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,2.4,
8,Justin Herbert,27,QB,11,11,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,0.7,
9,Tre Harris,23,WR,11,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
10,Scott Matlock,25,FB,10,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.6,
11,Khalil Mack,34,OLB,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.3,
