header_empty_0,header_def_int,header_fumbles,header_other_defense,ranker,name_display,age,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists
1,AJ Barner,23,TE,11,11,0,0,0,0,0,0,2,2,0,0,0.0,1,1,0,0,0,0,
2,Coby Bryant,26,FS,11,11,2,43,0,28,5,1,1,0,0,0,0.0,53,34,19,4,0,0,
3,Sam Darnold,28,QB,11,11,0,0,0,0,0,0,5,0,0,0,0.0,0,0,0,0,0,0,
4,Byron Murphy,23,DT,11,11,0,0,0,0,0,0,0,0,0,0,6.0,43,15,28,6,11,0,
5,Jaxon Smith-Njigba,23,WR,11,11,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
6,Leonard Williams,31,DE,11,11,0,0,0,0,1,0,0,0,0,0,6.0,45,24,21,6,17,0,
7,DeMarcus Lawrence,33,LB,10,10,0,0,0,0,0,0,0,2,56,2,4.0,29,11,18,8,14,0,
8,Josh Jobe,27,CB,10,9,1,0,0,0,7,0,0,0,0,0,0.5,41,32,9,0,2,0,
9,Ernest Jones,26,LB,9,9,3,59,0,29,5,0,0,0,0,0,0.5,71,36,35,3,1,0,
10,Ty Okada,26,FS,11,8,1,0,0,0,5,0,0,0,0,0,1.5,47,30,17,1,2,0,
11,Drake Thomas,25,LB,11,8,0,0,0,0,6,0,0,1,8,0,3.0,58,33,25,9,4,0,
12,Riq Woolen,26,CB,10,7,0,0,0,0,8,0,0,0,0,0,0.0,29,23,6,0,0,0,
13,Uchenna Nwosu,29,LB,10,6,0,0,0,0,2,0,0,0,0,0,5.5,25,14,11,6,10,0,
14,Devon Witherspoon,25,CB,6,6,0,0,0,0,3,0,0,0,0,0,0.5,35,24,11,1,2,0,
15,Nick Emmanwori,21,S,8,5,0,0,0,0,7,0,0,0,0,0,0.5,43,29,14,4,1,0,
16,Tyrice Knight,25,LB,10,4,0,0,0,0,0,2,0,0,0,0,2.0,50,32,18,6,2,0,
17,Boye Mafe,27,LB,11,4,0,0,0,0,3,0,0,0,0,0,1.0,16,6,10,3,3,0,
18,Elijah Arroyo,22,TE,11,3,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
19,Derick Hall,24,OLB,9,3,0,0,0,0,1,0,0,0,0,0,1.0,20,8,12,2,8,0,
20,Julian Love,27,FS,3,3,0,0,0,0,2,0,0,0,0,0,1.0,18,15,3,1,1,0,
21,D'Anthony Bell,29,S,10,2,0,0,0,0,0,0,0,0,0,0,0.5,13,5,8,1,1,0,
22,Jarran Reed,33,NT,8,2,0,0,0,0,0,0,0,0,0,0,1.5,17,5,12,1,6,0,
23,Rashid Shaheed,27,WR,3,2,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
24,Shaquill Griffin,30,CB,2,1,0,0,0,0,0,0,0,0,0,0,0.0,7,7,0,0,0,0,
25,Brandon Pili,26,NT,9,1,0,0,0,0,0,1,0,0,0,0,0.0,9,1,8,0,0,0,
26,Brady Russell,27,FB,11,1,0,0,0,0,0,0,0,1,3,0,0.0,13,9,4,0,0,0,
27,Eric Saubert,31,TE,7,1,0,0,0,0,0,0,0,1,0,0,0.0,7,4,3,0,0,0,
28,Jake Bobo,27,WR,7,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
29,Quinton Bohanna,26,DT,4,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0,0,0,
30,George Holani,26,RB,11,0,0,0,0,0,0,0,1,0,0,0,0.0,3,1,2,0,0,0,
31,Derion Kendrick,25,CB,10,0,2,0,0,0,5,0,0,0,0,0,0.0,7,4,3,1,0,0,
32,Drew Lock,29,QB,3,0,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
33,Jalen Milroe,23,QB,3,0,0,0,0,0,0,0,1,0,-3,0,0.0,0,0,0,0,0,0,
34,Mike Morris,24,DE,11,0,0,0,0,0,1,0,0,0,0,0,0.0,15,9,6,1,2,0,
35,Jason Myers,34,K,11,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
36,Patrick O'Connell,27,LB,3,0,0,0,0,0,0,0,0,0,0,0,1.0,13,5,8,1,1,0,
37,Connor O'Toole,23,LB,5,0,0,0,0,0,0,0,0,1,0,0,0.0,2,1,1,0,0,0,
38,Nehemiah Pritchett,24,CB,11,0,0,0,0,0,2,0,0,0,0,0,0.0,12,9,3,0,0,0,
39,Jerrick Reed,25,S,4,0,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,0,0,
40,Jamie Sheriff,25,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
41,Chris Stoll,27,LS,11,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
42,Chazz Surratt,28,LB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,11,4,7,0,0,0,
43,Cody White,27,WR,5,0,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,0,0,
44,Dareke Young,26,WR,6,0,0,0,0,0,0,0,0,0,0,0,0.0,7,5,2,0,0,0,
