header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,Jaxon Smith-Njigba,23,WR,11,11,6,37,0,2,66.7,11,6.2,3.4,0.5,107,80,1313,16.4,7,57,63.6,63,7.3,119.4,74.8,12.3,86,15.7,1350,7,2,
2,Kenneth Walker III,25,RB,11,11,147,677,4,32,45.6,31,4.6,61.5,13.4,19,17,157,9.2,0,6,52.6,29,1.5,14.3,89.5,8.3,164,5.1,834,4,0,
3,Zach Charbonnet,24,RB,10,0,111,385,7,24,45.9,30,3.5,38.5,11.1,10,9,67,7.4,0,3,30.0,21,0.9,6.7,90.0,6.7,120,3.8,452,7,0,
4,Cooper Kupp,32,WR,10,10,0,0,0,0,,,,0.0,0.0,46,31,414,13.4,1,18,58.7,67,3.1,41.4,67.4,9.0,31,13.4,414,1,0,
5,AJ Barner,23,TE,11,11,8,11,1,7,87.5,2,1.4,1.0,0.7,41,33,324,9.8,4,16,63.4,61,3.0,29.5,80.5,7.9,41,8.2,335,5,2,
6,Elijah Arroyo,22,TE,11,3,0,0,0,0,,,,0.0,0.0,23,15,179,11.9,1,7,43.5,32,1.4,16.3,65.2,7.8,15,11.9,179,1,1,
7,Tory Horton,23,WR,8,3,0,0,0,0,,,,0.0,0.0,22,13,161,12.4,5,7,45.5,25,1.6,20.1,59.1,7.3,13,12.4,161,5,0,
8,George Holani,26,RB,11,0,22,73,1,5,50.0,9,3.3,6.6,2.0,2,2,15,7.5,0,1,50.0,11,0.2,1.4,100.0,7.5,24,3.7,88,1,1,
9,Cody White,27,WR,5,0,0,0,0,0,,,,0.0,0.0,2,1,60,60.0,1,1,50.0,60,0.2,12.0,50.0,30.0,1,60.0,60,1,0,
10,Rashid Shaheed,27,WR,3,2,4,27,0,2,50.0,10,6.8,9.0,1.3,8,3,30,10.0,0,1,25.0,21,1.0,10.0,37.5,3.8,7,8.1,57,0,1,
11,Sam Darnold,28,QB,11,11,16,49,0,4,37.5,24,3.1,4.5,1.5,0,0,0,,0,0,,,0.0,0.0,,,16,3.1,49,0,5,
12,Dareke Young,26,WR,6,0,0,0,0,0,,,,0.0,0.0,2,2,48,24.0,0,2,100.0,36,0.3,8.0,100.0,24.0,2,24.0,48,0,0,
13,Jake Bobo,27,WR,7,0,0,0,0,0,,,,0.0,0.0,2,2,20,10.0,0,1,50.0,17,0.3,2.9,100.0,10.0,2,10.0,20,0,0,
14,Jacardia Wright,25,RB,1,0,5,20,0,1,40.0,10,4.0,20.0,5.0,0,0,0,,0,0,,,0.0,0.0,,,5,4.0,20,0,0,
15,Eric Saubert,31,TE,7,1,0,0,0,0,,,,0.0,0.0,1,1,12,12.0,0,1,100.0,12,0.1,1.7,100.0,12.0,1,12.0,12,0,0,
16,Jalen Milroe,23,QB,3,0,3,4,0,0,0.0,3,1.3,1.3,1.0,0,0,0,,0,0,,,0.0,0.0,,,3,1.3,4,0,1,
17,Nick Kallerup,24,TE,4,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
18,Drew Lock,29,QB,3,0,5,-5,0,0,0.0,,-1.0,-1.7,1.7,0,0,0,,0,0,,,0.0,0.0,,,5,-1.0,-5,0,1,
