header_empty_0,header_td,header_pat,header_fgtot,header_empty_7,ranker,name_display,age,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,def_two_pt,xpm,xpa,fgm
1,Jason Myers,34,K,11,0,0,0,0,0,0,0,0,0,0,0,36,36,24,29,0,108,9.8,
2,Zach Charbonnet,24,RB,10,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,42,4.2,
3,Jaxon Smith-Njigba,23,WR,11,11,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,42,3.8,
4,Tory Horton,23,WR,8,3,0,5,1,0,0,0,0,6,0,0,0,0,0,0,0,36,4.5,
5,AJ Barner,23,TE,11,11,1,4,0,0,0,0,0,5,0,0,0,0,0,0,0,30,2.7,
6,Kenneth Walker III,25,RB,11,11,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,24,2.2,
7,George Holani,26,RB,11,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,12,1.1,
8,DeMarcus Lawrence,33,LB,10,10,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,12,1.2,
9,Elijah Arroyo,22,TE,11,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
10,Cooper Kupp,32,WR,10,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.6,
11,Cody White,27,WR,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1.2,
