header_empty_0,header_def_int,header_fumbles,header_other_defense,ranker,name_display,age,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists
1,Kalia Davis,27,DL,12,12,0,0,0,0,1,0,0,0,0,0,0.5,20,8,12,3,2,0,
2,Jordan Elliott,28,DL,12,12,0,0,0,0,0,0,0,0,0,0,0.0,25,7,18,1,0,0,
3,Deommodore Lenoir,26,DB,12,12,2,90,0,64,5,0,1,0,0,0,0.0,43,30,13,3,0,0,
4,Christian McCaffrey,29,RB,12,12,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,
5,Colton McKivitz,29,OL,12,12,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,
6,Dee Winters,25,LB,12,12,0,0,0,0,3,0,0,0,0,0,0.0,78,53,25,6,3,0,
7,Renardo Green,25,CB,11,11,0,0,0,0,9,0,0,0,0,0,0.0,45,25,20,0,0,0,
8,Jauan Jennings,28,WR,10,10,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
9,Sam Okuayinonu,27,DL,12,9,0,0,0,0,0,1,0,0,0,0,2.0,31,17,14,3,4,0,
10,Mykel Williams,21,DL,9,9,0,0,0,0,0,0,0,1,0,0,1.0,20,11,9,4,3,0,
11,Ji'Ayir Brown,25,S,12,8,2,4,0,4,5,0,0,0,0,0,0.0,48,28,20,1,0,0,
12,Mac Jones,27,QB,9,8,0,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,0,0,
13,Jason Pinnock,26,S,12,7,0,0,0,0,0,0,0,0,0,0,0.0,29,20,9,1,0,0,
14,Marques Sigle,23,S,10,7,0,0,0,0,2,0,0,1,0,0,0.0,49,27,22,1,0,0,
15,Luke Gifford,30,LB,12,6,0,0,0,0,1,0,0,0,0,0,0.0,28,9,19,0,0,0,
16,Fred Warner,29,LB,6,6,0,0,0,0,3,2,0,1,0,0,0.0,51,28,23,2,0,0,
17,Tatum Bethune,24,LB,11,5,0,0,0,0,1,0,0,0,0,0,0.0,67,26,41,2,0,0,
18,Malik Mustapha,23,S,7,5,1,0,0,0,1,0,0,0,0,0,0.0,43,25,18,2,0,0,
19,Luke Farrell,28,TE,12,4,0,0,0,0,0,0,1,1,0,0,0.0,7,3,4,0,0,0,
20,Brock Purdy,26,QB,4,4,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
21,Nick Bosa,28,DL,3,3,0,0,0,0,0,2,0,1,0,0,2.0,17,9,8,4,3,0,
22,Bryce Huff,27,DL,10,3,0,0,0,0,1,2,0,0,0,0,4.0,21,12,9,6,13,0,
23,Upton Stout,23,CB,11,3,0,0,0,0,3,1,0,0,0,0,1.0,57,28,29,3,2,0,
24,Darrell Luter,25,CB,12,1,0,0,0,0,0,0,0,0,0,0,0.0,18,10,8,1,0,0,
25,Curtis Robinson,27,LB,12,1,0,0,0,0,0,0,0,0,0,0,0.0,29,13,16,1,0,0,
26,Jake Tonges,26,TE,12,1,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,0,0,
27,Robert Beal,26,DL,5,0,0,0,0,0,0,0,0,0,0,0,0.0,10,2,8,0,0,0,
28,Alfred Collins,24,DT,11,0,0,0,0,0,0,1,0,2,0,0,0.0,9,2,7,0,4,0,
29,Clelin Ferrell,28,DL,3,0,0,0,0,0,0,0,0,0,0,0,2.0,5,3,2,2,2,0,
30,Trevis Gipson,28,DL,4,0,0,0,0,0,0,0,0,1,0,0,0.0,2,1,1,0,0,0,
31,Kevin Givens,28,DL,4,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
32,Yetur Gross-Matos,27,DL,5,0,0,0,0,0,1,0,0,0,0,0,0.0,4,1,3,0,1,0,
33,Isaac Guerendo,25,RB,12,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,
34,Chase Lucas,28,CB,12,0,0,0,0,0,1,0,0,0,0,0,0.0,7,5,2,0,1,0,
35,Nick Martin,23,LB,6,0,0,0,0,0,0,1,0,0,0,0,0.0,10,7,3,0,0,0,
36,Skyy Moore,25,WR,12,0,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
37,Siran Neal,31,CB,12,0,0,0,0,0,0,0,0,0,0,0,0.0,14,4,10,0,0,0,
38,Malik Turner,29,WR,3,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,0,
39,Jon Weeks,39,LS,12,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
40,CJ West,23,DT,9,0,0,0,0,0,0,0,0,0,0,0,0.0,12,6,6,1,0,0,
41,Keion White,26,DL,4,0,0,0,0,0,1,0,0,1,0,0,0.5,3,0,3,0,1,0,
42,Brayden Willis,26,TE,5,0,0,0,0,0,0,0,0,0,0,0,0.0,5,3,2,0,0,0,
