header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,Christian McCaffrey,29,RB,12,12,217,796,7,51,47.9,20,3.7,66.3,18.1,103,81,785,9.7,5,39,59.2,39,6.8,65.4,78.6,7.6,298,5.3,1581,12,2,
2,Kendrick Bourne,30,WR,11,7,0,0,0,0,,,,0.0,0.0,42,31,482,15.5,0,23,71.4,56,2.8,43.8,73.8,11.5,31,15.5,482,0,0,
3,Jauan Jennings,28,WR,10,10,0,0,0,0,,,,0.0,0.0,63,37,419,11.3,4,21,54.0,42,3.7,41.9,58.7,6.7,37,11.3,419,4,1,
4,Ricky Pearsall,25,WR,6,6,2,-2,0,0,0.0,2,-1.0,-0.3,0.3,35,23,333,14.5,0,18,57.1,45,3.8,55.5,65.7,9.5,25,13.2,331,0,0,
5,George Kittle,32,TE,7,7,1,-3,0,0,0.0,-3,-3.0,-0.4,0.1,40,33,329,10.0,5,20,67.5,30,4.7,47.0,82.5,8.2,34,9.6,326,5,0,
6,Brian Robinson Jr.,26,RB,12,0,64,302,2,16,59.4,19,4.7,25.2,5.3,10,7,19,2.7,0,0,20.0,4,0.6,1.6,70.0,1.9,71,4.5,321,2,0,
7,Jake Tonges,26,TE,12,1,0,0,0,0,,,,0.0,0.0,35,26,226,8.7,4,14,57.1,23,2.2,18.8,74.3,6.5,26,8.7,226,4,0,
8,Demarcus Robinson,31,WR,9,1,0,0,0,0,,,,0.0,0.0,24,13,163,12.5,0,9,45.8,31,1.4,18.1,54.2,6.8,13,12.5,163,0,0,
9,Kyle Juszczyk,34,FB,12,12,2,-3,0,0,0.0,,-1.5,-0.3,0.2,21,18,160,8.9,1,7,76.2,25,1.5,13.3,85.7,7.6,20,7.9,157,1,0,
10,Luke Farrell,28,TE,12,4,0,0,0,0,,,,0.0,0.0,13,11,85,7.7,2,6,76.9,11,0.9,7.1,84.6,6.5,11,7.7,85,2,1,
11,Skyy Moore,25,WR,12,0,1,1,0,0,0.0,1,1.0,0.1,0.1,6,4,64,16.0,0,4,66.7,21,0.3,5.3,66.7,10.7,5,13.0,65,0,1,
12,Mac Jones,27,QB,9,8,31,61,0,10,45.2,13,2.0,6.8,3.4,0,0,0,,0,0,,,0.0,0.0,,,31,2.0,61,0,4,
13,Marquez Valdes-Scantling,31,WR,5,0,0,0,0,0,,,,0.0,0.0,8,4,40,10.0,0,1,37.5,19,0.8,8.0,50.0,5.0,4,10.0,40,0,0,
14,Brock Purdy,26,QB,4,4,14,39,0,6,57.1,11,2.8,9.8,3.5,0,0,0,,0,0,,,0.0,0.0,,,14,2.8,39,0,1,
15,Jordan Watkins,23,WR,3,0,0,0,0,0,,,,0.0,0.0,3,2,26,13.0,0,1,33.3,19,0.7,8.7,66.7,8.7,2,13.0,26,0,0,
16,Malik Turner,29,WR,3,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
17,Brayden Willis,26,TE,5,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
18,Connor Colby,22,OL,9,6,0,0,0,0,,,,0.0,0.0,1,1,-1,-1.0,0,0,0.0,-1,0.1,-0.1,100.0,-1.0,1,-1.0,-1,0,0,
19,Adrian Martinez,25,QB,1,0,1,-1,0,0,0.0,-1,-1.0,-1.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,1,-1.0,-1,0,0,
