header_score,header_off,header_def,header_exp_pts,week_num,game_day_of_week,game_date,game_time,boxscore_word,game_outcome,overtime,team_record,game_location,opp,pts_off,pts_def,first_down_off,yards_off,pass_yds_off,rush_yds_off,to_off,first_down_def,yards_def,pass_yds_def,rush_yds_def
1,Sun,September 7,4:05PM ET,boxscore,W,,1-0,@,Seattle Seahawks,17,13,24,384,265,119,2,14,230,146,84,2,9.55,4.44,-10.25
2,Sun,September 14,1:00PM ET,boxscore,W,,2-0,@,New Orleans Saints,26,21,23,344,267,77,1,21,307,186,121,1,7.35,-4.01,2.48
3,Sun,September 21,4:25PM ET,boxscore,W,,3-0,,Arizona Cardinals,16,15,19,355,282,73,1,16,260,154,106,,-0.76,-0.54,2.12
4,Sun,September 28,4:05PM ET,boxscore,L,,3-1,,Jacksonville Jaguars,21,26,22,389,306,83,4,18,325,174,151,,-0.26,-0.85,-4.55
5,Thu,October 2,8:15PM ET,boxscore,W,OT,4-1,@,Los Angeles Rams,26,23,27,407,333,74,,27,456,378,78,2,11.07,-12.67,4.60
6,Sun,October 12,4:25PM ET,boxscore,L,,4-2,@,Tampa Bay Buccaneers,19,30,17,363,296,67,2,19,352,248,104,,-5.35,-15.93,6.77
7,Sun,October 19,8:20PM ET,boxscore,W,,5-2,,Atlanta Falcons,20,10,23,324,150,174,1,19,292,230,62,1,5.61,2.45,-0.03
8,Sun,October 26,1:00PM ET,boxscore,L,,5-3,@,Houston Texans,15,26,12,223,175,48,1,23,475,318,157,1,-3.35,-21.47,7.92
9,Sun,November 2,1:00PM ET,boxscore,W,,6-3,@,New York Giants,34,24,25,380,221,159,1,19,296,179,117,,16.67,-8.85,5.34
10,Sun,November 9,4:25PM ET,boxscore,L,,6-4,,Los Angeles Rams,26,42,24,393,319,74,2,31,401,275,126,,9.67,-30.82,2.09
11,Sun,November 16,4:05PM ET,boxscore,W,,7-4,@,Arizona Cardinals,41,22,24,281,186,95,,24,488,452,36,3,9.27,-0.06,11.58
12,Mon,November 24,8:15PM ET,boxscore,W,,8-4,,Carolina Panthers,20,9,23,340,193,147,3,12,230,161,69,2,5.42,10.89,-0.84
13,Sun,November 30,1:00PM ET,preview,,,,@,Cleveland Browns,,,,,,,,,,,,,,,
14,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
15,Sun,December 14,4:25PM ET,preview,,,,,Tennessee Titans,,,,,,,,,,,,,,,
16,Mon,December 22,8:15PM ET,preview,,,,@,Indianapolis Colts,,,,,,,,,,,,,,,
17,Sun,December 28,8:20PM ET,preview,,,,,Chicago Bears,,,,,,,,,,,,,,,
18,Sun,January 4,1:00PM ET,preview,,,,,Seattle Seahawks,,,,,,,,,,,,,,,
