header_empty_0,header_td,header_pat,header_fgtot,header_empty_7,ranker,name_display,age,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,def_two_pt,xpm,xpa,fgm
1,Eddy Piñeiro,30,K,10,0,0,0,0,0,0,0,0,0,0,0,18,22,22,22,0,84,8.4,
2,Christian McCaffrey,29,RB,12,12,7,5,0,0,0,0,0,12,0,0,0,0,0,0,0,72,6.0,
3,George Kittle,32,TE,7,7,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,30,4.3,
4,Jauan Jennings,28,WR,10,10,0,4,0,0,0,0,0,4,1,0,0,0,0,0,0,26,2.6,
5,Jake Tonges,26,TE,12,1,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,24,2.0,
6,Luke Farrell,28,TE,12,4,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.0,
7,Brian Robinson Jr.,26,RB,12,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.0,
8,Matt Gay,31,K,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,8,8.0,
9,Kyle Juszczyk,34,FB,12,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
10,Jake Moody,26,K,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,0,5,5.0,
11,Demarcus Robinson,31,WR,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0.2,
