header_empty_0,header_def_int,header_fumbles,header_other_defense,ranker,name_display,age,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists
1,Graham Barton,23,C,11,11,0,0,0,0,0,0,1,1,-11,0,0.0,0,0,0,0,0,0,
2,Lavonte David,35,LB,11,11,1,3,0,3,2,1,0,1,0,0,2.5,78,38,40,7,5,0,
3,SirVocea Dennis,25,LB,11,11,1,0,0,0,4,0,0,0,0,0,2.0,71,45,26,7,4,0,
4,YaYa Diaby,26,OLB,11,11,0,0,0,0,0,1,0,0,0,0,5.0,31,19,12,8,11,0,
5,Baker Mayfield,30,QB,11,11,0,0,0,0,0,0,7,2,0,0,0.0,0,0,0,0,0,0,
6,Tykee Smith,24,S,11,11,1,0,0,0,12,0,0,1,0,0,2.0,85,51,34,6,4,0,
7,Vita Vea,30,NT,11,11,0,0,0,0,1,0,0,1,0,0,2.5,20,9,11,3,7,0,
8,Antoine Winfield Jr.,27,S,11,11,1,0,0,0,5,1,0,1,0,0,1.0,56,34,22,4,3,0,
9,Logan Hall,25,DL,11,10,0,0,0,0,1,0,0,0,0,0,0.5,20,9,11,1,3,0,
10,Zyon McCollum,26,CB,10,10,0,0,0,0,5,0,0,0,0,0,0.0,57,40,17,1,0,0,
11,Jamel Dean,29,CB,9,9,3,74,1,55,6,2,0,0,0,0,1.0,28,24,4,1,2,0,
12,Tristan Wirfs,26,T,8,8,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
13,Payne Durham,25,TE,11,7,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
14,Haason Reddick,31,OLB,7,7,0,0,0,0,1,0,0,0,0,0,1.5,16,9,7,3,5,0,
15,Rachaad White,26,RB,11,7,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,
16,Greg Gaines,29,DL,11,4,0,0,0,0,0,0,0,0,0,0,1.0,10,6,4,1,1,0,
17,Bucky Irving,23,RB,4,4,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
18,Anthony Nelson,28,OLB,11,4,1,3,1,3,1,2,0,0,0,0,3.0,32,18,14,3,4,0,
19,Jacob Parrish,21,CB,11,4,1,3,0,3,4,0,0,0,0,0,2.0,50,33,17,7,3,0,
20,Elijah Roberts,24,DL,11,4,0,0,0,0,3,0,0,1,0,0,2.0,11,8,3,2,5,0,
21,Ryan Miller,25,WR,11,3,0,0,0,0,0,0,0,1,0,0,0.0,6,5,1,0,0,0,
22,Calijah Kancey,24,DL,2,2,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,1,0,0,
23,Sterling Shepard,32,WR,11,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
24,Kindle Vildor,28,CB,6,1,1,13,0,13,3,0,0,0,0,0,0.0,12,8,4,0,0,0,
25,Chris Braswell,24,OLB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,20,14,6,1,3,0,
26,C.J. Brewer,28,DT,3,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0,2,0,1,0,
27,John Bullock,24,LB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,8,2,6,0,0,0,
28,Sebastian Castro,25,S,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
29,Josh Hayes,26,CB,11,0,0,0,0,0,0,1,0,0,0,0,0.0,12,6,6,0,0,0,
30,Christian Izien,25,S,8,0,0,0,0,0,0,0,0,0,0,0,0.0,5,4,1,0,0,0,
31,Nick Jackson,24,LB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
32,Kameron Johnson,23,WR,11,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
33,Deion Jones,31,MLB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,18,11,7,0,0,0,
34,Ko Kieft,27,TE,3,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,
35,Chase McLaughlin,29,K,11,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
36,Kaevon Merriweather,26,S,11,0,0,0,0,0,0,0,0,0,0,0,0.0,8,4,4,1,0,1,
37,Benjamin Morrison,21,CB,7,0,0,0,0,0,3,0,0,0,0,0,0.0,13,11,2,1,0,0,
38,Elijah Simmons,24,DL,8,0,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,1,0,0,
39,Sean Tucker,24,RB,11,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
40,Markees Watts,26,OLB,9,0,0,0,0,0,0,0,0,0,0,0,0.5,6,1,5,0,1,0,
41,Rashad Wisdom,24,S,2,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,
