header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,Emeka Egbuka,23,WR,11,10,2,9,0,0,50.0,9,4.5,0.8,0.2,93,48,749,15.6,6,28,43.0,77,4.4,68.1,51.6,8.1,50,15.2,758,6,0,
2,Rachaad White,26,RB,11,7,104,414,4,32,57.7,16,4.0,37.6,9.5,33,29,148,5.1,0,8,36.4,18,2.6,13.5,87.9,4.5,133,4.2,562,4,0,
3,Bucky Irving,23,RB,4,4,71,237,0,7,36.6,16,3.3,59.3,17.8,19,19,193,10.2,2,7,57.9,72,4.8,48.3,100.0,10.2,90,4.8,430,2,1,
4,Cade Otton,26,TE,11,11,0,0,0,0,,,,0.0,0.0,60,41,402,9.8,0,18,50.0,27,3.7,36.5,68.3,6.7,41,9.8,402,0,0,
5,Sterling Shepard,32,WR,11,1,4,19,0,1,75.0,11,4.8,1.7,0.4,50,37,361,9.8,1,17,46.0,36,3.4,32.8,74.0,7.2,41,9.3,380,1,1,
6,Sean Tucker,24,RB,11,0,63,277,4,16,47.6,43,4.4,25.2,5.7,10,8,34,4.3,1,1,20.0,28,0.7,3.1,80.0,3.4,71,4.4,311,5,1,
7,Tez Johnson,23,WR,10,6,6,17,0,0,66.7,6,2.8,1.7,0.6,37,23,282,12.3,5,14,51.4,45,2.3,28.2,62.2,7.6,29,10.3,299,5,0,
8,Baker Mayfield,30,QB,11,11,31,216,1,17,58.1,33,7.0,19.6,2.8,0,0,0,,0,0,,,0.0,0.0,,,31,7.0,216,1,7,
9,Mike Evans,32,WR,4,4,0,0,0,0,,,,0.0,0.0,32,14,140,10.0,1,10,40.6,22,3.5,35.0,43.8,4.4,14,10.0,140,1,0,
10,Kameron Johnson,23,WR,11,0,2,13,0,1,50.0,11,6.5,1.2,0.2,6,4,64,16.0,1,3,50.0,34,0.4,5.8,66.7,10.7,6,12.8,77,1,0,
11,Chris Godwin,29,WR,3,2,0,0,0,0,,,,0.0,0.0,18,8,61,7.6,0,4,33.3,13,2.7,20.3,44.4,3.4,8,7.6,61,0,0,
12,Ryan Miller,25,WR,11,3,0,0,0,0,,,,0.0,0.0,4,2,34,17.0,1,1,25.0,20,0.2,3.1,50.0,8.5,2,17.0,34,1,0,
13,Josh Williams,25,RB,3,0,4,11,0,0,25.0,4,2.8,3.7,1.3,0,0,0,,0,0,,,0.0,0.0,,,4,2.8,11,0,0,
14,Owen Wright,26,RB,3,0,3,6,0,0,0.0,4,2.0,2.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,3,2.0,6,0,0,
15,Teddy Bridgewater,33,QB,4,0,3,4,0,0,0.0,6,1.3,1.0,0.8,0,0,0,,0,0,,,0.0,0.0,,,3,1.3,4,0,0,
16,Payne Durham,25,TE,11,7,0,0,0,0,,,,0.0,0.0,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
