header_score,header_off,header_def,header_exp_pts,week_num,game_day_of_week,game_date,game_time,boxscore_word,game_outcome,overtime,team_record,game_location,opp,pts_off,pts_def,first_down_off,yards_off,pass_yds_off,rush_yds_off,to_off,first_down_def,yards_def,pass_yds_def,rush_yds_def
1,Sun,September 7,1:00PM ET,boxscore,W,,1-0,@,Atlanta Falcons,23,20,16,260,159,101,,23,358,289,69,,7.74,-9.79,5.47
2,Mon,September 15,7:00PM ET,boxscore,W,,2-0,@,Houston Texans,20,19,25,360,191,169,,12,266,182,84,,10.15,0.88,-11.63
3,Sun,September 21,1:00PM ET,boxscore,W,,3-0,,New York Jets,29,27,19,347,225,122,,21,267,168,99,2,0.89,10.01,-9.29
4,Sun,September 28,1:00PM ET,boxscore,L,,3-1,,Philadelphia Eagles,25,31,18,376,272,104,2,16,200,112,88,,-3.04,2.72,-5.68
5,Sun,October 5,4:05PM ET,boxscore,W,,4-1,@,Seattle Seahawks,38,35,25,426,370,56,,27,463,341,122,2,25.29,-23.95,1.93
6,Sun,October 12,4:25PM ET,boxscore,W,,5-1,,San Francisco 49ers,30,19,19,352,248,104,,17,363,296,67,2,15.93,5.35,-6.77
7,Mon,October 20,7:00PM ET,boxscore,L,,5-2,@,Detroit Lions,9,24,15,251,210,41,2,17,379,215,164,2,-19.03,-0.05,2.74
8,Sun,October 26,4:05PM ET,boxscore,W,,6-2,@,New Orleans Saints,23,3,14,212,124,88,1,17,275,227,48,4,-8.55,21.57,5.97
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Sun,November 9,1:00PM ET,boxscore,L,,6-3,,New England Patriots,23,28,24,371,258,113,,16,435,269,166,1,6.61,-12.12,-2.07
11,Sun,November 16,1:00PM ET,boxscore,L,,6-4,@,Buffalo Bills,32,44,21,367,165,202,2,19,414,317,97,3,5.15,-19.33,0.72
12,Sun,November 23,8:20PM ET,boxscore,L,,6-5,@,Los Angeles Rams,7,34,14,193,70,123,2,20,333,263,70,,-19.70,-9.12,3.17
13,Sun,November 30,1:00PM ET,preview,,,,,Arizona Cardinals,,,,,,,,,,,,,,,
14,Sun,December 7,1:00PM ET,preview,,,,,New Orleans Saints,,,,,,,,,,,,,,,
15,Thu,December 11,8:15PM ET,preview,,,,,Atlanta Falcons,,,,,,,,,,,,,,,
16,Sun,December 21,1:00PM ET,preview,,,,@,Carolina Panthers,,,,,,,,,,,,,,,
17,Sun,December 28,1:00PM ET,preview,,,,@,Miami Dolphins,,,,,,,,,,,,,,,
18,Sun,January 4,1:00PM ET,preview,,,,,Carolina Panthers,,,,,,,,,,,,,,,
