header_empty_0,header_td,header_pat,header_fgtot,header_empty_7,ranker,name_display,age,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,def_two_pt,xpm,xpa,fgm
1,Chase McLaughlin,29,K,11,0,0,0,0,0,0,0,0,0,0,0,21,22,20,24,0,81,7.4,
2,Emeka Egbuka,23,WR,11,10,0,6,0,0,0,0,0,6,1,0,0,0,0,0,0,38,3.5,
3,Tez Johnson,23,WR,10,6,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,30,3.0,
4,Sean Tucker,24,RB,11,0,4,1,0,0,0,0,0,5,0,0,0,0,0,0,0,30,2.7,
5,Rachaad White,26,RB,11,7,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,24,2.2,
6,Bucky Irving,23,RB,4,4,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,3.0,
7,Jamel Dean,29,CB,9,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0.7,
8,Mike Evans,32,WR,4,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1.5,
9,Kameron Johnson,23,WR,11,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
10,Baker Mayfield,30,QB,11,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
11,Ryan Miller,25,WR,11,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
12,Anthony Nelson,28,OLB,11,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0.5,
13,Sterling Shepard,32,WR,11,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
14,Kaevon Merriweather,26,S,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.2,
