header_empty_0,header_def_int,header_fumbles,header_other_defense,ranker,name_display,age,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists
1,Zach Ertz,35,TE,11,11,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
2,Javon Kinlaw,28,DT,11,11,0,0,0,0,0,0,0,0,0,0,0.0,25,12,13,3,3,0,
3,Frankie Luvu,29,LB,11,11,0,0,0,0,3,1,0,0,0,0,2.0,58,28,30,4,3,0,
4,Quan Martin,25,S,11,11,0,0,0,0,2,1,0,0,0,0,0.0,71,38,33,1,2,0,
5,Bobby Wagner,35,MLB,11,11,1,1,0,1,2,0,0,0,0,0,2.0,107,53,54,6,5,0,
6,Daron Payne,28,DT,10,10,0,0,0,0,5,1,0,0,0,0,1.0,30,12,18,5,5,1,
7,Marshon Lattimore,29,CB,9,9,1,0,0,0,7,0,0,1,0,0,0.0,27,16,11,1,0,0,
8,Trey Amos,23,CB,10,8,0,0,0,0,6,0,0,0,0,0,0.0,32,19,13,1,0,0,
9,Jacob Martin,30,DE,11,8,0,0,0,0,0,0,0,0,0,0,4.5,26,12,14,3,12,0,
10,Mike Sainristil,25,CB,11,8,3,23,0,23,7,0,1,0,0,0,0.0,53,29,24,0,0,0,
11,Jeremy Reaves,29,S,11,7,0,0,0,0,3,0,0,0,0,0,1.0,63,38,25,4,2,0,
12,Jayden Daniels,25,QB,6,6,0,0,0,0,0,0,3,1,-4,0,0.0,0,0,0,0,0,0,
13,Deebo Samuel,29,WR,10,6,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
14,Dorance Armstrong Jr.,28,DE,7,5,0,0,0,0,0,0,0,0,0,0,5.5,24,16,8,7,7,0,
15,Jacory Croskey-Merritt,24,RB,11,5,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
16,Eddie Goldman,31,DT,10,5,0,0,0,0,0,0,0,0,0,0,0.0,18,7,11,4,0,0,
17,Marcus Mariota,32,QB,7,5,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
18,Chris Moore,32,WR,10,5,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
19,Jordan Magee,24,LB,11,4,0,0,0,0,0,0,0,0,0,0,0.0,28,16,12,1,0,0,
20,Chris Rodriguez,25,RB,9,4,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
21,Will Harris,30,FS,3,3,0,0,0,0,1,1,0,0,0,0,0.0,11,7,4,0,0,0,
22,Jalyn Holmes,29,DE,7,3,0,0,0,0,0,0,0,0,0,0,0.0,15,3,12,0,1,0,
23,Jaylin Lane,23,WR,11,3,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,
24,Jonathan Jones,32,CB,7,2,0,0,0,0,1,0,0,0,0,0,1.0,16,11,5,1,1,0,
25,Deatrich Wise Jr.,31,DE,2,2,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,1,1,0,
26,Percy Butler,25,S,10,1,0,0,0,0,0,0,0,0,0,0,0.0,11,8,3,0,0,0,
27,Von Miller,36,LB,11,1,0,0,0,0,0,0,0,0,0,0,5.0,13,7,6,3,9,0,
28,Tyler Owens,24,S,11,1,0,0,0,0,0,0,0,0,0,0,0.0,11,7,4,0,0,0,
29,Nick Bellore,36,LB,11,0,0,0,0,0,0,1,0,0,0,0,0.0,8,4,4,0,0,0,
30,Sheldon Day,31,DT,5,0,0,0,0,0,0,0,0,0,0,0,0.0,11,6,5,0,1,0,
31,Antonio Hamilton,32,CB,9,0,0,0,0,0,0,0,0,1,3,0,0.0,5,2,3,0,0,0,
32,Noah Igbinoghene,26,CB,9,0,0,0,0,0,2,0,0,0,0,0,0.0,10,5,5,0,0,0,
33,Javontae Jean-Baptiste,25,DE,3,0,0,0,0,0,0,0,0,0,0,0,1.0,6,2,4,1,1,0,
34,Ale Kaho,25,LB,4,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
35,Tay Martin,28,WR,3,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
36,Luke McCaffrey,24,WR,9,0,0,0,0,0,0,0,0,0,0,0,0.0,5,2,3,0,0,0,
37,Kain Medrano,24,LB,3,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
38,Jer'Zhan Newton,23,DT,11,0,0,0,0,0,1,1,0,0,0,0,2.0,23,12,11,2,4,0,
39,Darnell Savage Jr.,28,S,8,0,0,0,0,0,1,1,0,0,0,0,0.0,15,9,6,0,0,0,
40,Preston Smith,33,DE,7,0,0,0,0,0,0,0,0,0,0,0,0.0,12,4,8,1,1,0,
41,Colson Yankoff,25,TE,9,0,0,0,0,0,0,0,0,0,0,0,0.0,9,4,5,0,0,0,
