header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,Jacory Croskey-Merritt,24,RB,11,5,114,498,4,25,56.1,42,4.4,45.3,10.4,13,9,68,7.6,0,3,46.2,28,0.8,6.2,69.2,5.2,123,4.6,566,4,2,
2,Deebo Samuel,29,WR,10,6,11,52,1,3,63.6,19,4.7,5.2,1.1,68,53,470,8.9,5,19,57.4,28,5.3,47.0,77.9,6.9,64,8.2,522,6,1,
3,Zach Ertz,35,TE,11,11,0,0,0,0,,,,0.0,0.0,57,39,387,9.9,4,18,50.9,30,3.5,35.2,68.4,6.8,39,9.9,387,4,1,
4,Jeremy McNichols,30,RB,11,0,26,181,1,10,53.8,60,7.0,16.5,2.4,20,15,149,9.9,0,8,50.0,24,1.4,13.5,75.0,7.5,41,8.0,330,1,0,
5,Chris Rodriguez,25,RB,9,4,60,279,3,19,56.7,48,4.7,31.0,6.7,1,1,6,6.0,0,0,100.0,6,0.1,0.7,100.0,6.0,61,4.7,285,3,0,
6,Jayden Daniels,25,QB,6,6,54,262,2,13,53.7,18,4.9,43.7,9.0,0,0,0,,0,0,,,0.0,0.0,,,54,4.9,262,2,3,
7,Jaylin Lane,23,WR,11,3,1,7,0,0,100.0,7,7.0,0.6,0.1,30,16,225,14.1,0,10,43.3,41,1.5,20.5,53.3,7.5,17,13.6,232,0,3,
8,Luke McCaffrey,24,WR,9,0,0,0,0,0,,,,0.0,0.0,15,11,203,18.5,3,6,66.7,50,1.2,22.6,73.3,13.5,11,18.5,203,3,0,
9,Terry McLaurin,30,WR,4,4,0,0,0,0,,,,0.0,0.0,21,13,203,15.6,1,11,61.9,56,3.3,50.8,61.9,9.7,13,15.6,203,1,0,
10,Chris Moore,32,WR,10,5,1,9,0,0,100.0,9,9.0,0.9,0.1,22,10,192,19.2,1,9,45.5,44,1.0,19.2,45.5,8.7,11,18.3,201,1,0,
11,Marcus Mariota,32,QB,7,5,27,193,1,7,48.1,44,7.1,27.6,3.9,0,0,0,,0,0,,,0.0,0.0,,,27,7.1,193,1,2,
12,Austin Ekeler,30,RB,2,2,14,43,0,3,57.1,6,3.1,21.5,7.0,7,5,38,7.6,0,2,42.9,15,2.5,19.0,71.4,5.4,19,4.3,81,0,0,
13,Treylon Burks,25,WR,2,0,0,0,0,0,,,,0.0,0.0,4,4,72,18.0,0,3,75.0,37,2.0,36.0,100.0,18.0,4,18.0,72,0,0,
14,John Bates,28,TE,9,7,0,0,0,0,,,,0.0,0.0,10,6,62,10.3,0,3,60.0,22,0.7,6.9,60.0,6.2,6,10.3,62,0,0,
15,Robbie Chosen,32,WR,3,0,0,0,0,0,,,,0.0,0.0,9,5,53,10.6,0,2,22.2,17,1.7,17.7,55.6,5.9,5,10.6,53,0,0,
16,Noah Brown,29,WR,2,2,0,0,0,0,,,,0.0,0.0,7,3,36,12.0,0,1,42.9,18,1.5,18.0,42.9,5.1,3,12.0,36,0,0,
17,Ben Sinnott,23,TE,10,3,0,0,0,0,,,,0.0,0.0,3,3,33,11.0,1,2,100.0,22,0.3,3.3,100.0,11.0,3,11.0,33,1,0,
18,Jacoby Jones,24,WR,1,0,0,0,0,0,,,,0.0,0.0,1,1,25,25.0,0,1,100.0,25,1.0,25.0,100.0,25.0,1,25.0,25,0,0,
19,Tay Martin,28,WR,3,0,0,0,0,0,,,,0.0,0.0,2,2,23,11.5,0,1,100.0,14,0.7,7.7,100.0,11.5,2,11.5,23,0,0,
20,Colson Yankoff,25,TE,9,0,0,0,0,0,,,,0.0,0.0,1,1,4,4.0,0,1,100.0,4,0.1,0.4,100.0,4.0,1,4.0,4,0,0,
