header_score,header_off,header_def,header_exp_pts,week_num,game_day_of_week,game_date,game_time,boxscore_word,game_outcome,overtime,team_record,game_location,opp,pts_off,pts_def,first_down_off,yards_off,pass_yds_off,rush_yds_off,to_off,first_down_def,yards_def,pass_yds_def,rush_yds_def
1,Sun,September 7,1:00PM ET,boxscore,W,,1-0,,New York Giants,21,6,25,432,212,220,,17,231,157,74,,15.03,6.91,-2.75
2,Thu,September 11,8:15PM ET,boxscore,L,,1-1,@,Green Bay Packers,18,27,15,230,179,51,,22,404,269,135,,-12.80,-8.82,6.35
3,Sun,September 21,1:00PM ET,boxscore,W,,2-1,,Las Vegas Raiders,41,24,17,400,199,201,1,17,354,261,93,,15.53,-1.89,6.14
4,Sun,September 28,1:00PM ET,boxscore,L,,2-2,@,Atlanta Falcons,27,34,17,294,147,147,1,24,435,307,128,1,6.89,-17.75,2.18
5,Sun,October 5,4:25PM ET,boxscore,W,,3-2,@,Los Angeles Chargers,27,10,22,389,226,163,1,18,336,181,155,2,16.40,5.18,-6.97
6,Mon,October 13,8:15PM ET,boxscore,L,,3-3,,Chicago Bears,24,25,22,329,205,124,3,19,381,236,145,,6.62,-6.79,-0.68
7,Sun,October 19,4:25PM ET,boxscore,L,,3-4,@,Dallas Cowboys,22,44,18,341,205,136,2,21,409,257,152,,-10.68,-17.98,4.95
8,Mon,October 27,8:15PM ET,boxscore,L,,3-5,@,Kansas City Chiefs,7,28,14,260,200,60,2,26,432,284,148,2,-7.61,-20.26,7.00
9,Sun,November 2,8:20PM ET,boxscore,L,,3-6,,Seattle Seahawks,14,38,19,290,133,157,2,21,418,330,88,1,2.71,-25.53,0.64
10,Sun,November 9,4:25PM ET,boxscore,L,,3-7,,Detroit Lions,22,44,14,288,195,93,,30,546,320,226,,6.77,-37.36,6.22
11,Sun,November 16,9:30AM ET,boxscore,L,OT,3-8,@,Miami Dolphins,13,16,22,379,207,172,2,19,311,142,169,,5.19,0.86,-9.05
12,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
13,Sun,November 30,8:20PM ET,preview,,,,,Denver Broncos,,,,,,,,,,,,,,,
14,Sun,December 7,1:00PM ET,preview,,,,@,Minnesota Vikings,,,,,,,,,,,,,,,
15,Sun,December 14,1:00PM ET,preview,,,,@,New York Giants,,,,,,,,,,,,,,,
16,Sat,December 20,1:00PM ET,preview,,,,,Philadelphia Eagles,,,,,,,,,,,,,,,
17,Thu,December 25,1:00PM ET,preview,,,,,Dallas Cowboys,,,,,,,,,,,,,,,
18,Sun,January 4,1:00PM ET,preview,,,,@,Philadelphia Eagles,,,,,,,,,,,,,,,
