header_empty_0,header_td,header_pat,header_fgtot,header_empty_7,ranker,name_display,age,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,def_two_pt,xpm,xpa,fgm
1,Matt Gay,31,K,10,0,0,0,0,0,0,0,0,0,0,0,22,22,13,19,0,61,6.1,
2,Deebo Samuel,29,WR,10,6,1,5,0,0,0,0,0,6,0,0,0,0,0,0,0,36,3.6,
3,Zach Ertz,35,TE,11,11,0,4,0,0,0,0,0,4,1,0,0,0,0,0,0,26,2.4,
4,Jacory Croskey-Merritt,24,RB,11,5,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,24,2.2,
5,Luke McCaffrey,24,WR,9,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,20,2.2,
6,Chris Rodriguez,25,RB,9,4,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,18,2.0,
7,Jayden Daniels,25,QB,6,6,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,2.0,
8,Jaylin Lane,23,WR,11,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
9,Marcus Mariota,32,QB,7,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.9,
10,Terry McLaurin,30,WR,4,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1.5,
11,Jeremy McNichols,30,RB,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
12,Chris Moore,32,WR,10,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.6,
13,Ben Sinnott,23,TE,10,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.6,
14,Daron Payne,28,DT,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.2,
15,Matthew Wright,29,K,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1.0,
